,GPU,MRP
0,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
1,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
2,ASUS NVIDIA GeForce GT 730 2 GB GDDR5 Graphics Card,"₹4,399"
3,ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,"₹2,049"
4,ASUS NVIDIA Geforce GT 710 2 GB DDR3 Graphics Card,"₹4,557"
5,GIGABYTE NVIDIA GV-N710D3-2GL 2 GB DDR3 Graphics Card,"₹3,999"
6,GEONIX NVIDIA GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹2,990"
7,GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,"₹6,870"
8,ZOTAC NVIDIA GTX1650AMP 4 GB GDDR6 Graphics Card,"₹13,950"
9,ASUS AMD Radeon PH-RX550-4G-EVO 4 GB GDDR5 Graphics Card,"₹9,999"
10,GEONIX NVIDIA Geonix610 2 GB DDR3 Graphics Card,"₹1,890"
11,Inno3D NVIDIA GEFORCE GTX 1660 Super Twin X2 6 GB GDDR6 Graphics Card,"₹21,599"
12,GIGABYTE NVIDIA GV-N1656WF2OC-4GD 4 GB GDDR6 Graphics Card,"₹14,990"
13,ZOTAC NVIDIA RTX 3060 Twin Edge OC 12 GB GDDR6 Graphics Card,"₹30,000"
14,ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹4,099"
15,amd by Sapphire AMD Radeon Radeon RX 6500 XT 4 GB GDDR6 Graphics Card,"₹17,345"
16,mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,999"
17,ZOTAC NVIDIA GAMING GeForce RTX 4070 Twin Edge OC 12 GB GDDR6X Graphics Card,"₹61,848"
18,ZOTAC NVIDIA GeForce GTX 1650 OC 4 GB GDDR6 Graphics Card,"₹13,899"
19,ASRock AMD Radeon RX6600XT PGD 8 GB GDDR6 Graphics Card,"₹39,999"
20,Inno3D NVIDIA GEFORCE GTX 1650 Twin X2 OC 4 GB GDDR6 Graphics Card,"₹17,197"
21,Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6 Graphics Card,"₹28,809"
22,GIGABYTE NVIDIA GV-N1656WF2OC-4GB 4 GB GDDR6 Graphics Card,"₹13,799"
23,ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,"₹7,899"
24,"FRONTECH NVIDIA GT 610 Graphics Card with 64 Bits PCIe 2.0, High Efficiency 2 GB DDR3 Graphics Card","₹1,959"
25,ASRock AMD Radeon RX6600 CLD 8 GB GDDR6 Graphics Card,"₹32,999"
26,ZOTAC NVIDIA GEFORCE RTX 4060 TWIN EDGE OC White Edition 8 GB GDDR6 Graphics Card,"₹33,261"
27,ZOTAC NVIDIA RTX 3060 Twin Edge 12 GB GDDR6 Graphics Card,"₹29,490"
28,GIGABYTE NVIDIA GV-N3050WF2OC-8GD 8 GB GDDR6 Graphics Card,"₹23,890"
29,GIGABYTE AMD Radeon GV-R66XTGAMING OC-8GD 8 GB GDDR6 Graphics Card,"₹48,999"
30,Enter NVIDIA E-GT610-2GD3 PCI Express 2.0 Graphics Card 64 bit 2GB HDMI VGA 2 GB DDR3 Graphics Card,"₹2,299"
31,Inno3D NVIDIA GeForce GTX1050 TI 4 GB GDDR5 Graphics Card,"₹14,999"
32,ZOTAC NVIDIA Geforce GTX 1630 4 GB GDDR6 4 GB GDDR6 Graphics Card,"₹15,000"
33,GIGABYTE NVIDIA GV-n3060WF2OC-12GB 12 GB GDDR6 Graphics Card,"₹28,500"
34,Colorful NVIDIA GTX-1660 6 GB GDDR6 Graphics Card,"₹23,010"
35,sillora AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,799"
36,MSI NVIDIA GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR 8GB GDDR6 256-bit 8 GB GDDR6 Graphics Card,"₹57,999"
37,nVIDIA NVIDIA RTX 3060 Gaming OC 12GB LHR Graphics Card (rev. 2.0) GV-N3060Gaming OC-12GD 12 GB GDDR6 Graphics Card,"₹35,999"
38,Acer Intel ARC A380 6 GB GDDR6 Graphics Card,"₹11,699"
39,GIGABYTE NVIDIA GV-N308TGAMING OC-12GD 12 GB GDDR6X Graphics Card,"₹1,14,999"
40,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
41,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
42,ASUS NVIDIA GeForce GT 730 2 GB GDDR5 Graphics Card,"₹4,399"
43,ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,"₹2,049"
44,ASUS NVIDIA Geforce GT 710 2 GB DDR3 Graphics Card,"₹4,557"
45,GIGABYTE NVIDIA GV-N710D3-2GL 2 GB DDR3 Graphics Card,"₹3,999"
46,GEONIX NVIDIA GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹2,990"
47,GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,"₹6,870"
48,ZOTAC NVIDIA GTX1650AMP 4 GB GDDR6 Graphics Card,"₹13,950"
49,ASUS AMD Radeon PH-RX550-4G-EVO 4 GB GDDR5 Graphics Card,"₹9,999"
50,GEONIX NVIDIA Geonix610 2 GB DDR3 Graphics Card,"₹1,890"
51,Inno3D NVIDIA GEFORCE GTX 1660 Super Twin X2 6 GB GDDR6 Graphics Card,"₹21,599"
52,GIGABYTE NVIDIA GV-N1656WF2OC-4GD 4 GB GDDR6 Graphics Card,"₹14,990"
53,ZOTAC NVIDIA RTX 3060 Twin Edge OC 12 GB GDDR6 Graphics Card,"₹30,000"
54,ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹4,099"
55,amd by Sapphire AMD Radeon Radeon RX 6500 XT 4 GB GDDR6 Graphics Card,"₹17,345"
56,mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,999"
57,ZOTAC NVIDIA GAMING GeForce RTX 4070 Twin Edge OC 12 GB GDDR6X Graphics Card,"₹61,848"
58,ZOTAC NVIDIA GeForce GTX 1650 OC 4 GB GDDR6 Graphics Card,"₹13,899"
59,ASRock AMD Radeon RX6600XT PGD 8 GB GDDR6 Graphics Card,"₹39,999"
60,Inno3D NVIDIA GEFORCE GTX 1650 Twin X2 OC 4 GB GDDR6 Graphics Card,"₹17,197"
61,Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6 Graphics Card,"₹28,809"
62,GIGABYTE NVIDIA GV-N1656WF2OC-4GB 4 GB GDDR6 Graphics Card,"₹13,799"
63,ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,"₹7,899"
64,"FRONTECH NVIDIA GT 610 Graphics Card with 64 Bits PCIe 2.0, High Efficiency 2 GB DDR3 Graphics Card","₹1,959"
65,ASRock AMD Radeon RX6600 CLD 8 GB GDDR6 Graphics Card,"₹32,999"
66,ZOTAC NVIDIA GEFORCE RTX 4060 TWIN EDGE OC White Edition 8 GB GDDR6 Graphics Card,"₹33,261"
67,ZOTAC NVIDIA RTX 3060 Twin Edge 12 GB GDDR6 Graphics Card,"₹29,490"
68,GIGABYTE NVIDIA GV-N3050WF2OC-8GD 8 GB GDDR6 Graphics Card,"₹23,890"
69,GIGABYTE AMD Radeon GV-R66XTGAMING OC-8GD 8 GB GDDR6 Graphics Card,"₹48,999"
70,Enter NVIDIA E-GT610-2GD3 PCI Express 2.0 Graphics Card 64 bit 2GB HDMI VGA 2 GB DDR3 Graphics Card,"₹2,299"
71,Inno3D NVIDIA GeForce GTX1050 TI 4 GB GDDR5 Graphics Card,"₹14,999"
72,ZOTAC NVIDIA Geforce GTX 1630 4 GB GDDR6 4 GB GDDR6 Graphics Card,"₹15,000"
73,GIGABYTE NVIDIA GV-n3060WF2OC-12GB 12 GB GDDR6 Graphics Card,"₹28,500"
74,Colorful NVIDIA GTX-1660 6 GB GDDR6 Graphics Card,"₹23,010"
75,sillora AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,799"
76,MSI NVIDIA GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR 8GB GDDR6 256-bit 8 GB GDDR6 Graphics Card,"₹57,999"
77,nVIDIA NVIDIA RTX 3060 Gaming OC 12GB LHR Graphics Card (rev. 2.0) GV-N3060Gaming OC-12GD 12 GB GDDR6 Graphics Card,"₹35,999"
78,Acer Intel ARC A380 6 GB GDDR6 Graphics Card,"₹11,699"
79,GIGABYTE NVIDIA GV-N308TGAMING OC-12GD 12 GB GDDR6X Graphics Card,"₹1,14,999"
80,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
81,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
82,MSI AMD Radeon Radeon RX 6500 XT MECH 2X 4G OC 4 GB GDDR6 Graphics Card,"₹21,999"
83,ASRock AMD Radeon RX6700XT CLD 12 GB GDDR6 Graphics Card,"₹60,298"
84,"Verilux NVIDIA NVME Adapter PCIe x16 with Gel Pad, M.2 NVME or AHCI SSD to PCIE 3.0 Adapter Card for Key M 2230, 2242, 2260, 2280 Size M.2 SSD, Support PCIe x4 x8 x16 Slot 256 MB GDDR5 Graphics Card",₹599
85,ZOTAC NVIDIA RTX 3050 Twin Edge 8 GB GDDR6 Graphics Card,"₹23,500"
86,MSI NVIDIA GeForce GTX 1050 Ti 4GT OCV1 4 GB GDDR5 Graphics Card,"₹14,999"
87,GIGABYTE AMD Radeon GV-R65XTGAMING OC-4GD 4 GB GDDR6 Graphics Card,"₹25,999"
88,ASUS AMD Radeon Dual RX 6650XT OC 8 GB GDDR6 Graphics Card,"₹39,999"
89,ASRock AMD Radeon RX6700XT PGD 12 GB GDDR6 Graphics Card,"₹59,999"
90,MSI NVIDIA GeForce RTX 3050 VENTUS 2X 8G OC 8 GB GDDR6 Graphics Card,"₹29,434"
91,Inno3D NVIDIA GEFORCE RTX 3080 Ti X3 12 GB GDDR6X Graphics Card,"₹1,29,999"
92,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 OC 8 GB GDDR6X Graphics Card,"₹79,999"
93,MSI NVIDIA RTX 3090 VENTUS 24 GB GDDR6X Graphics Card,"₹2,04,999"
94,MSI NVIDIA N730K-4GD3 4 GB DDR3 Graphics Card,"₹6,499"
95,Inno3D NVIDIA GEFORCE RTX 3050 TWIN X2 8 GB GDDR6 Graphics Card,"₹24,044"
96,ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹3,957"
97,Inno3D NVIDIA GTX 1050 Ti 4 GB GDDR5 Graphics Card,"₹15,999"
98,GEONIX NVIDIA ?GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹3,270"
99,MSI NVIDIA GeForce RTX 3080 GAMING Z TRIO 12G LHR 12 GB GDDR6X Graphics Card,"₹1,04,999"
100,MSI NVIDIA GeForce GTX 1660 Super Gaming X 6 GB GDDR5 Graphics Card,"₹30,703"
101,ZOTAC NVIDIA RTX 3060 Ti Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹49,999"
102,MSI AMD Radeon Radeon RX 6400 AERO ITX 4G 4 GB GDDR6 Graphics Card,"₹15,999"
103,GIGABYTE AMD Radeon GV-R68XTGAMING OC-16GD 16 GB GDDR6 Graphics Card,"₹1,04,999"
104,GIGABYTE AMD Radeon GV-R69XTAORUS M-16GD 16 GB GDDR6 Graphics Card,"₹1,49,999"
105,MSI NVIDIA GeForce RTX 3070 VENTUS 3X 8G OC LHR 8 GB GDDR6 Graphics Card,"₹57,999"
106,ZOTAC NVIDIA RTX 3060 AMP White Edition 12 GB GDDR6 Graphics Card,"₹32,609"
107,GALAX NVIDIA GT 730 4 GB DDR3 Graphics Card,"₹6,400"
108,AARVEX NVIDIA GT610 1 GB DDR3 Graphics Card,"₹2,750"
109,ZOTAC NVIDIA RTX 3070 Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹57,999"
110,Inno3D NVIDIA GEFORCE RTX 3060 Ti iChill X3 RED LHR 8 GB GDDR6 Graphics Card,"₹55,319"
111,HASTHIP NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
112,ZOTAC NVIDIA RTX 3050 Twin Edge OC 8 GB GDDR6 Graphics Card,"₹32,999"
113,Inno3D NVIDIA GeForce RTX 2060 Super Twin X2 OC 8 GB GDDR6 Graphics Card,"₹44,999"
114,MSI NVIDIA GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR 12 GB GDDR6X Graphics Card,"₹1,17,999"
115,Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,"₹19,499"
116,Colorful NVIDIA RTX-3050 8 GB GDDR6 Graphics Card,"₹28,999"
117,ZOTAC NVIDIA RTX 2060 Twin Fan 12 GB GDDR6 Graphics Card,"₹36,999"
118,ASRock AMD Radeon RX6600XT CLD 8 GB GDDR6 Graphics Card,"₹39,999"
119,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 8 GB GDDR6X Graphics Card,"₹59,999"
120,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
121,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
122,ASUS NVIDIA GeForce GT 730 2 GB GDDR5 Graphics Card,"₹4,399"
123,ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3 Graphics Card,"₹2,049"
124,ASUS NVIDIA Geforce GT 710 2 GB DDR3 Graphics Card,"₹4,557"
125,GIGABYTE NVIDIA GV-N710D3-2GL 2 GB DDR3 Graphics Card,"₹3,999"
126,GEONIX NVIDIA GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹2,990"
127,GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphics Card,"₹6,870"
128,ZOTAC NVIDIA GTX1650AMP 4 GB GDDR6 Graphics Card,"₹13,950"
129,ASUS AMD Radeon PH-RX550-4G-EVO 4 GB GDDR5 Graphics Card,"₹9,999"
130,GEONIX NVIDIA Geonix610 2 GB DDR3 Graphics Card,"₹1,890"
131,Inno3D NVIDIA GEFORCE GTX 1660 Super Twin X2 6 GB GDDR6 Graphics Card,"₹21,599"
132,GIGABYTE NVIDIA GV-N1656WF2OC-4GD 4 GB GDDR6 Graphics Card,"₹14,990"
133,ZOTAC NVIDIA RTX 3060 Twin Edge OC 12 GB GDDR6 Graphics Card,"₹30,000"
134,ZEBRONICS NVIDIA GT730 4 GB DDR3 Graphics Card,"₹4,099"
135,amd by Sapphire AMD Radeon Radeon RX 6500 XT 4 GB GDDR6 Graphics Card,"₹17,345"
136,mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,999"
137,ZOTAC NVIDIA GAMING GeForce RTX 4070 Twin Edge OC 12 GB GDDR6X Graphics Card,"₹61,848"
138,ZOTAC NVIDIA GeForce GTX 1650 OC 4 GB GDDR6 Graphics Card,"₹13,899"
139,ASRock AMD Radeon RX6600XT PGD 8 GB GDDR6 Graphics Card,"₹39,999"
140,Inno3D NVIDIA GEFORCE GTX 1650 Twin X2 OC 4 GB GDDR6 Graphics Card,"₹17,197"
141,Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6 Graphics Card,"₹28,809"
142,GIGABYTE NVIDIA GV-N1656WF2OC-4GB 4 GB GDDR6 Graphics Card,"₹13,799"
143,ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,"₹7,899"
144,"FRONTECH NVIDIA GT 610 Graphics Card with 64 Bits PCIe 2.0, High Efficiency 2 GB DDR3 Graphics Card","₹1,959"
145,ASRock AMD Radeon RX6600 CLD 8 GB GDDR6 Graphics Card,"₹32,999"
146,ZOTAC NVIDIA GEFORCE RTX 4060 TWIN EDGE OC White Edition 8 GB GDDR6 Graphics Card,"₹33,261"
147,ZOTAC NVIDIA RTX 3060 Twin Edge 12 GB GDDR6 Graphics Card,"₹29,490"
148,GIGABYTE NVIDIA GV-N3050WF2OC-8GD 8 GB GDDR6 Graphics Card,"₹23,890"
149,GIGABYTE AMD Radeon GV-R66XTGAMING OC-8GD 8 GB GDDR6 Graphics Card,"₹48,999"
150,Enter NVIDIA E-GT610-2GD3 PCI Express 2.0 Graphics Card 64 bit 2GB HDMI VGA 2 GB DDR3 Graphics Card,"₹2,299"
151,Inno3D NVIDIA GeForce GTX1050 TI 4 GB GDDR5 Graphics Card,"₹14,999"
152,ZOTAC NVIDIA Geforce GTX 1630 4 GB GDDR6 4 GB GDDR6 Graphics Card,"₹15,000"
153,GIGABYTE NVIDIA GV-n3060WF2OC-12GB 12 GB GDDR6 Graphics Card,"₹28,500"
154,Colorful NVIDIA GTX-1660 6 GB GDDR6 Graphics Card,"₹23,010"
155,sillora AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,799"
156,MSI NVIDIA GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR 8GB GDDR6 256-bit 8 GB GDDR6 Graphics Card,"₹57,999"
157,nVIDIA NVIDIA RTX 3060 Gaming OC 12GB LHR Graphics Card (rev. 2.0) GV-N3060Gaming OC-12GD 12 GB GDDR6 Graphics Card,"₹35,999"
158,Acer Intel ARC A380 6 GB GDDR6 Graphics Card,"₹11,699"
159,GIGABYTE NVIDIA GV-N308TGAMING OC-12GD 12 GB GDDR6X Graphics Card,"₹1,14,999"
160,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
161,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
162,MSI AMD Radeon Radeon RX 6500 XT MECH 2X 4G OC 4 GB GDDR6 Graphics Card,"₹21,999"
163,ASRock AMD Radeon RX6700XT CLD 12 GB GDDR6 Graphics Card,"₹60,298"
164,"Verilux NVIDIA NVME Adapter PCIe x16 with Gel Pad, M.2 NVME or AHCI SSD to PCIE 3.0 Adapter Card for Key M 2230, 2242, 2260, 2280 Size M.2 SSD, Support PCIe x4 x8 x16 Slot 256 MB GDDR5 Graphics Card",₹599
165,ZOTAC NVIDIA RTX 3050 Twin Edge 8 GB GDDR6 Graphics Card,"₹23,500"
166,MSI NVIDIA GeForce GTX 1050 Ti 4GT OCV1 4 GB GDDR5 Graphics Card,"₹14,999"
167,GIGABYTE AMD Radeon GV-R65XTGAMING OC-4GD 4 GB GDDR6 Graphics Card,"₹25,999"
168,ASUS AMD Radeon Dual RX 6650XT OC 8 GB GDDR6 Graphics Card,"₹39,999"
169,ASRock AMD Radeon RX6700XT PGD 12 GB GDDR6 Graphics Card,"₹59,999"
170,MSI NVIDIA GeForce RTX 3050 VENTUS 2X 8G OC 8 GB GDDR6 Graphics Card,"₹29,434"
171,Inno3D NVIDIA GEFORCE RTX 3080 Ti X3 12 GB GDDR6X Graphics Card,"₹1,29,999"
172,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 OC 8 GB GDDR6X Graphics Card,"₹79,999"
173,MSI NVIDIA RTX 3090 VENTUS 24 GB GDDR6X Graphics Card,"₹2,04,999"
174,MSI NVIDIA N730K-4GD3 4 GB DDR3 Graphics Card,"₹6,499"
175,Inno3D NVIDIA GEFORCE RTX 3050 TWIN X2 8 GB GDDR6 Graphics Card,"₹24,044"
176,ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹3,957"
177,Inno3D NVIDIA GTX 1050 Ti 4 GB GDDR5 Graphics Card,"₹15,999"
178,GEONIX NVIDIA ?GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹3,270"
179,MSI NVIDIA GeForce RTX 3080 GAMING Z TRIO 12G LHR 12 GB GDDR6X Graphics Card,"₹1,04,999"
180,MSI NVIDIA GeForce GTX 1660 Super Gaming X 6 GB GDDR5 Graphics Card,"₹30,703"
181,ZOTAC NVIDIA RTX 3060 Ti Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹49,999"
182,MSI AMD Radeon Radeon RX 6400 AERO ITX 4G 4 GB GDDR6 Graphics Card,"₹15,999"
183,GIGABYTE AMD Radeon GV-R68XTGAMING OC-16GD 16 GB GDDR6 Graphics Card,"₹1,04,999"
184,GIGABYTE AMD Radeon GV-R69XTAORUS M-16GD 16 GB GDDR6 Graphics Card,"₹1,49,999"
185,MSI NVIDIA GeForce RTX 3070 VENTUS 3X 8G OC LHR 8 GB GDDR6 Graphics Card,"₹57,999"
186,ZOTAC NVIDIA RTX 3060 AMP White Edition 12 GB GDDR6 Graphics Card,"₹32,609"
187,GALAX NVIDIA GT 730 4 GB DDR3 Graphics Card,"₹6,400"
188,AARVEX NVIDIA GT610 1 GB DDR3 Graphics Card,"₹2,750"
189,ZOTAC NVIDIA RTX 3070 Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹57,999"
190,Inno3D NVIDIA GEFORCE RTX 3060 Ti iChill X3 RED LHR 8 GB GDDR6 Graphics Card,"₹55,319"
191,HASTHIP NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
192,ZOTAC NVIDIA RTX 3050 Twin Edge OC 8 GB GDDR6 Graphics Card,"₹32,999"
193,Inno3D NVIDIA GeForce RTX 2060 Super Twin X2 OC 8 GB GDDR6 Graphics Card,"₹44,999"
194,MSI NVIDIA GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR 12 GB GDDR6X Graphics Card,"₹1,17,999"
195,Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,"₹19,499"
196,Colorful NVIDIA RTX-3050 8 GB GDDR6 Graphics Card,"₹28,999"
197,ZOTAC NVIDIA RTX 2060 Twin Fan 12 GB GDDR6 Graphics Card,"₹36,999"
198,ASRock AMD Radeon RX6600XT CLD 8 GB GDDR6 Graphics Card,"₹39,999"
199,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 8 GB GDDR6X Graphics Card,"₹59,999"
200,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
201,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
202,Inno3D NVIDIA GEFORCE RTX 3080 Ti iChill X3 12 GB GDDR6X Graphics Card,"₹1,34,999"
203,GIGABYTE AMD Radeon GV-R65XTEAGLE-4GD 4 GB GDDR6 Graphics Card,"₹23,499"
204,Inno3D NVIDIA GEFORCE RTX 3080 iChill X4 LHR 12 GB GDDR6X Graphics Card,"₹1,18,999"
205,Inno3D NVIDIA GEFORCE RTX 3090 iChill Frostbite 24 GB GDDR6X Graphics Card,"₹2,03,999"
206,MSI NVIDIA RTX 3060 Ti 8 GB GDDR6 Graphics Card,"₹44,999"
207,"amd AMD Radeon Sapphire NITRO+ Radeon™ RX 6600 XT Graphic Card with 8 GB GDDR6, RDNA™ 2 8 GB GDDR6 Graphics Card","₹49,499"
208,amd AMD Radeon RX 6700 XT 12 GB GDDR6 Graphics Card,"₹60,999"
209,Verilux NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
210,MSI AMD Radeon Radeon RX 6600 MECH 2X 8G 8 GB GDDR6 Graphics Card,"₹34,999"
211,MSI NVIDIA GeForce RTX 2060 VENTUS GP OC 6 GB GDDR6 Graphics Card,"₹32,479"
212,ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,"₹20,999"
213,"amd AMD Radeon Sapphire Pulse Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™ 16 GB GDDR6 Graphics Card","₹99,999"
