,GPU,MRP
415,amd by Sapphire AMD Radeon Radeon RX 6500 XT 4 GB GDDR6 Graphics Card,"₹17,345"
416,mytechvision AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,999"
417,ZOTAC NVIDIA GAMING GeForce RTX 4070 Twin Edge OC 12 GB GDDR6X Graphics Card,"₹61,848"
418,ZOTAC NVIDIA GeForce GTX 1650 OC 4 GB GDDR6 Graphics Card,"₹13,899"
419,ASRock AMD Radeon RX6600XT PGD 8 GB GDDR6 Graphics Card,"₹39,999"
420,Inno3D NVIDIA GEFORCE GTX 1650 Twin X2 OC 4 GB GDDR6 Graphics Card,"₹17,197"
421,Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6 Graphics Card,"₹28,809"
422,GIGABYTE NVIDIA GV-N1656WF2OC-4GB 4 GB GDDR6 Graphics Card,"₹13,799"
423,ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5 Graphics Card,"₹7,899"
424,"FRONTECH NVIDIA GT 610 Graphics Card with 64 Bits PCIe 2.0, High Efficiency 2 GB DDR3 Graphics Card","₹1,959"
425,ASRock AMD Radeon RX6600 CLD 8 GB GDDR6 Graphics Card,"₹32,999"
426,ZOTAC NVIDIA GEFORCE RTX 4060 TWIN EDGE OC White Edition 8 GB GDDR6 Graphics Card,"₹33,261"
427,ZOTAC NVIDIA RTX 3060 Twin Edge 12 GB GDDR6 Graphics Card,"₹29,490"
428,GIGABYTE NVIDIA GV-N3050WF2OC-8GD 8 GB GDDR6 Graphics Card,"₹23,890"
429,GIGABYTE AMD Radeon GV-R66XTGAMING OC-8GD 8 GB GDDR6 Graphics Card,"₹48,999"
430,Enter NVIDIA E-GT610-2GD3 PCI Express 2.0 Graphics Card 64 bit 2GB HDMI VGA 2 GB DDR3 Graphics Card,"₹2,299"
431,Inno3D NVIDIA GeForce GTX1050 TI 4 GB GDDR5 Graphics Card,"₹14,999"
432,ZOTAC NVIDIA Geforce GTX 1630 4 GB GDDR6 4 GB GDDR6 Graphics Card,"₹15,000"
433,GIGABYTE NVIDIA GV-n3060WF2OC-12GB 12 GB GDDR6 Graphics Card,"₹28,500"
434,Colorful NVIDIA GTX-1660 6 GB GDDR6 Graphics Card,"₹23,010"
435,sillora AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,799"
436,MSI NVIDIA GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR 8GB GDDR6 256-bit 8 GB GDDR6 Graphics Card,"₹57,999"
437,nVIDIA NVIDIA RTX 3060 Gaming OC 12GB LHR Graphics Card (rev. 2.0) GV-N3060Gaming OC-12GD 12 GB GDDR6 Graphics Card,"₹35,999"
438,Acer Intel ARC A380 6 GB GDDR6 Graphics Card,"₹11,699"
439,GIGABYTE NVIDIA GV-N308TGAMING OC-12GD 12 GB GDDR6X Graphics Card,"₹1,14,999"
440,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
441,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
442,MSI AMD Radeon Radeon RX 6500 XT MECH 2X 4G OC 4 GB GDDR6 Graphics Card,"₹21,999"
443,ASRock AMD Radeon RX6700XT CLD 12 GB GDDR6 Graphics Card,"₹60,298"
444,"Verilux NVIDIA NVME Adapter PCIe x16 with Gel Pad, M.2 NVME or AHCI SSD to PCIE 3.0 Adapter Card for Key M 2230, 2242, 2260, 2280 Size M.2 SSD, Support PCIe x4 x8 x16 Slot 256 MB GDDR5 Graphics Card",₹599
445,ZOTAC NVIDIA RTX 3050 Twin Edge 8 GB GDDR6 Graphics Card,"₹23,500"
446,MSI NVIDIA GeForce GTX 1050 Ti 4GT OCV1 4 GB GDDR5 Graphics Card,"₹14,999"
447,GIGABYTE AMD Radeon GV-R65XTGAMING OC-4GD 4 GB GDDR6 Graphics Card,"₹25,999"
448,ASUS AMD Radeon Dual RX 6650XT OC 8 GB GDDR6 Graphics Card,"₹39,999"
449,ASRock AMD Radeon RX6700XT PGD 12 GB GDDR6 Graphics Card,"₹59,999"
450,MSI NVIDIA GeForce RTX 3050 VENTUS 2X 8G OC 8 GB GDDR6 Graphics Card,"₹29,434"
451,Inno3D NVIDIA GEFORCE RTX 3080 Ti X3 12 GB GDDR6X Graphics Card,"₹1,29,999"
452,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 OC 8 GB GDDR6X Graphics Card,"₹79,999"
453,MSI NVIDIA RTX 3090 VENTUS 24 GB GDDR6X Graphics Card,"₹2,04,999"
454,MSI NVIDIA N730K-4GD3 4 GB DDR3 Graphics Card,"₹6,499"
455,Inno3D NVIDIA GEFORCE RTX 3050 TWIN X2 8 GB GDDR6 Graphics Card,"₹24,044"
456,ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹3,957"
457,Inno3D NVIDIA GTX 1050 Ti 4 GB GDDR5 Graphics Card,"₹15,999"
458,GEONIX NVIDIA ?GX GT730 4GB D3 4 GB DDR3 Graphics Card,"₹3,270"
459,MSI NVIDIA GeForce RTX 3080 GAMING Z TRIO 12G LHR 12 GB GDDR6X Graphics Card,"₹1,04,999"
460,MSI NVIDIA GeForce GTX 1660 Super Gaming X 6 GB GDDR5 Graphics Card,"₹30,703"
461,ZOTAC NVIDIA RTX 3060 Ti Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹49,999"
462,MSI AMD Radeon Radeon RX 6400 AERO ITX 4G 4 GB GDDR6 Graphics Card,"₹15,999"
463,GIGABYTE AMD Radeon GV-R68XTGAMING OC-16GD 16 GB GDDR6 Graphics Card,"₹1,04,999"
464,GIGABYTE AMD Radeon GV-R69XTAORUS M-16GD 16 GB GDDR6 Graphics Card,"₹1,49,999"
465,MSI NVIDIA GeForce RTX 3070 VENTUS 3X 8G OC LHR 8 GB GDDR6 Graphics Card,"₹57,999"
466,ZOTAC NVIDIA RTX 3060 AMP White Edition 12 GB GDDR6 Graphics Card,"₹32,609"
467,GALAX NVIDIA GT 730 4 GB DDR3 Graphics Card,"₹6,400"
468,AARVEX NVIDIA GT610 1 GB DDR3 Graphics Card,"₹2,750"
469,ZOTAC NVIDIA RTX 3070 Twin Edge LHR 8 GB GDDR6 Graphics Card,"₹57,999"
470,Inno3D NVIDIA GEFORCE RTX 3060 Ti iChill X3 RED LHR 8 GB GDDR6 Graphics Card,"₹55,319"
471,HASTHIP NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
472,ZOTAC NVIDIA RTX 3050 Twin Edge OC 8 GB GDDR6 Graphics Card,"₹32,999"
473,Inno3D NVIDIA GeForce RTX 2060 Super Twin X2 OC 8 GB GDDR6 Graphics Card,"₹44,999"
474,MSI NVIDIA GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR 12 GB GDDR6X Graphics Card,"₹1,17,999"
475,Colorful NVIDIA GT-1050 4 GB DDR5 Graphics Card,"₹19,499"
476,Colorful NVIDIA RTX-3050 8 GB GDDR6 Graphics Card,"₹28,999"
477,ZOTAC NVIDIA RTX 2060 Twin Fan 12 GB GDDR6 Graphics Card,"₹36,999"
478,ASRock AMD Radeon RX6600XT CLD 8 GB GDDR6 Graphics Card,"₹39,999"
479,Inno3D NVIDIA GEFORCE RTX 3070 Ti X3 8 GB GDDR6X Graphics Card,"₹59,999"
480,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
481,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
482,Inno3D NVIDIA GEFORCE RTX 3080 Ti iChill X3 12 GB GDDR6X Graphics Card,"₹1,34,999"
483,GIGABYTE AMD Radeon GV-R65XTEAGLE-4GD 4 GB GDDR6 Graphics Card,"₹23,499"
484,Inno3D NVIDIA GEFORCE RTX 3080 iChill X4 LHR 12 GB GDDR6X Graphics Card,"₹1,18,999"
485,Inno3D NVIDIA GEFORCE RTX 3090 iChill Frostbite 24 GB GDDR6X Graphics Card,"₹2,03,999"
486,MSI NVIDIA RTX 3060 Ti 8 GB GDDR6 Graphics Card,"₹44,999"
487,"amd AMD Radeon Sapphire NITRO+ Radeon™ RX 6600 XT Graphic Card with 8 GB GDDR6, RDNA™ 2 8 GB GDDR6 Graphics Card","₹49,499"
488,amd AMD Radeon RX 6700 XT 12 GB GDDR6 Graphics Card,"₹60,999"
489,Verilux NVIDIA Addressable RGB Graphics Card GPU Brace Support Video Card Sag Holder 1 GB DDR3 Graphics Card,"₹1,499"
490,MSI AMD Radeon Radeon RX 6600 MECH 2X 8G 8 GB GDDR6 Graphics Card,"₹34,999"
491,MSI NVIDIA GeForce RTX 2060 VENTUS GP OC 6 GB GDDR6 Graphics Card,"₹32,479"
492,ASRock AMD Radeon RX6500XT PGD 4 GB GDDR6 Graphics Card,"₹20,999"
493,"amd AMD Radeon Sapphire Pulse Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™ 16 GB GDDR6 Graphics Card","₹99,999"
494,PowerColor AMD Radeon Fighter 6700XT 12 GB GDDR6 Graphics Card,"₹62,890"
495,"Xsentuals NVIDIA PCIe Riser Adapter Card VER009S / 009S Black & Gold 16x to 1x 60cm USB 3.0 Extension Cable - GPU Riser Adapter - Mining Bitcoin, Ethereum ETH Zcash ZEC Monero XMR 16 GB GDDR4 Graphics Card",₹499
496,GIGABYTE AMD Radeon GV-R69XTGAMING OC-16GD 16 GB GDDR6 Graphics Card,"₹1,39,999"
497,MSI NVIDIA RTX 3070 GAMING 8 GB GDDR6 Graphics Card,"₹59,499"
498,GIGABYTE NVIDIA 1650-1 Fan 4 GB GDDR6 Graphics Card,"₹13,200"
499,MSI NVIDIA GeForce RTX 3080 SUPRIM X 12G LHR 12 GB GDDR6X Graphics Card,"₹1,84,999"
500,Inno3D NVIDIA GEFORCE RTX 3050 Twin X2 OC 8 GB GDDR6 Graphics Card,"₹31,413"
501,amd AMD Radeon RX 6600 8 GB GDDR6 Graphics Card,"₹36,339"
502,Inno3D NVIDIA GEFORCE RTX 3060 TI ITWIN X2 LHR 8 GB GDDR6 Graphics Card,"₹41,499"
503,Colorful NVIDIA RTX-3080 Ti 12 GB GDDR6X Graphics Card,"₹99,999"
504,Inno3D NVIDIA GEFORCE RTX 3060 Twin X2 OC 12 GB GDDR6 Graphics Card,"₹47,999"
505,GEONIX NVIDIA GX GT610 2GB D3 2 GB DDR3 Graphics Card,"₹2,157"
506,Inno3D NVIDIA RTX 3090 TI 24GB X3 OC 24 GB GDDR6X Graphics Card,"₹2,06,999"
507,LipiWorld NVIDIA VER-14Pro V014 Pro PCI-E 1X to 16X Pcie Riser for Bitcoin ETH Coin Mining 16 GB GDDR4 Graphics Card,₹649
508,Dtech NVIDIA NVIDIA GT210 1 GB DDR3 Graphics Card,"₹1,424"
509,ASRock AMD Radeon RX6800XT PGD 16 GB GDDR6 Graphics Card,"₹94,999"
510,ASUS AMD Radeon Dual RX 6500XT OC 4 GB GDDR6 Graphics Card,"₹17,999"
511,MSI NVIDIA GeForce RTX 3080 Ti VENTUS 3X 12G OC 12 GB GDDR6X Graphics Card,"₹1,54,999"
512,MSI NVIDIA GeForce RTX 3050 GAMING X 8G 8 GB GDDR6 Graphics Card,"₹32,999"
513,ASUS NVIDIA ROG-STRIX-RTX3080-O10G-V2 10 GB GDDR6X Graphics Card,"₹79,999"
514,MSI NVIDIA RTX 3090 Ti GAMING X TRIO 24G 24 GB GDDR6X Graphics Card,"₹2,07,999"
515,Inno3D NVIDIA GEFORCE GTX 1630 TWIN X2 OC 4 GB GDDR6 Graphics Card,"₹14,999"
516,MSI NVIDIA GeForce RTX 3080 Ti GAMING X TRIO 12G 12 GB GDDR6X Graphics Card,"₹1,49,999"
517,ZOTAC NVIDIA RTX 3090 Trinity OC 24 GB GDDR6X Graphics Card,"₹1,68,999"
518,HASTHIP Intel PCI-E PCI Express 3.0 X4 to NVME M.2 NVME to NVME SSD PCI-e 3.0 x 4 Host Control 1 GB DDR3 Graphics Card,₹699
519,Verilux Intel M.2 NVME SSD Convert Adapter Card for MacBook Air Pro Retina (Year 2013-2017) 1 GB DDR3 Graphics Card,₹754
520,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
521,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
522,Colorful NVIDIA RTX-3070 Ti 8 GB GDDR6 Graphics Card,"₹64,999"
523,ASUS NVIDIA GeForce GT 730 2GB GDDR5 64-Bit Graphics Card with 4-HDMI ports 2 GB GDDR5 Graphics Card,"₹11,899"
524,MSI AMD Radeon Radeon RX 6600 XT MECH 2X 8G OCV1 8 GB GDDR6 Graphics Card,"₹54,289"
525,ZOTAC NVIDIA RTX 3070 Twin Edge OC White Edition LHR 8 GB GDDR6 Graphics Card,"₹57,999"
526,GALAX NVIDIA NVIDIA GEFORCE GT 710 2GB GDDR3 Graphics Card (Black) 2 GB GDDR3 Graphics Card,"₹3,850"
527,ZEBRONICS NVIDIA ZEBGT730 4 GB GDDR3 Graphics Card,"₹4,149"
528,Sapphire AMD Radeon Radeon RX 6400 4 GB GDDR6 Graphics Card,"₹14,299"
529,Tobo NVIDIA M.2 To USB 3.0 Pcie 1x To 16x Riser Card Switch Transfer Card Adapter USB 3.0 1 GB DDR3 Graphics Card,₹426
530,sillora AMD Radeon AMD 8 GB GDDR5 Graphics Card,"₹10,799"
531,GIGABYTE AMD Radeon GV-R66EAGLE-8GD 8 GB GDDR6 Graphics Card,"₹41,499"
532,Enter NVIDIA E-GT610-2GD3 PCI Express 2.0 Graphics Card 64 bit 2GB HDMI VGA 2 GB DDR3 Graphics Card,"₹2,299"
533,ZOTAC NVIDIA RTX 3080 Ti AMP Holo 12 GB GDDR6X Graphics Card,"₹1,56,999"
534,mytechvision NVIDIA GTX 1050 4 GB GDDR5 Graphics Card,"₹11,999"
535,LipiWorld NVIDIA Pack Of 2 VER011-PRO Riser Card 10 Capacitors PCI-E 1X to 16X 16 GB GDDR4 Graphics Card,"₹1,129"
536,Inno3D NVIDIA GEFORCE RTX 3080 iChill X4 LHR 10 GB GDDR6X Graphics Card,"₹94,849"
537,HASTHIP Intel M.2 NVME SSD Convert Adapter Card for MacBook Air Pro Retina (Year 2013-2017) 1 GB DDR3 Graphics Card,₹754
538,"Tobo NVIDIA VER009S PCIE Riser Express Cable 1X to 16X (Dual-6pin / MOLEX) with Led Graphics Extension Ethereum ETH Mining Powered PCI-E Riser Adapter Card, with 24inches USB 3.0 Cable (VER009S) 2 GB DDR2 Graphics Card",₹499
539,LipiWorld NVIDIA (Pack Of 2) VER-14Pro V014 Pro PCI-E 1X to 16X Pcie Riser Card 16 GB GDDR4 Graphics Card,"₹1,199"
540,ZOTAC NVIDIA RTX 3070 Ti Trinity 8 GB GDDR6X Graphics Card,"₹59,800"
541,GALAX NVIDIA GEFORCE GT 710 2GB 2 GB GDDR3 Graphics Card,"₹4,350"
542,Selito AMD Radeon AMD RADEON 8 GB DDR5 Graphics Card,"₹10,799"
543,Tobo NVIDIA ER010S Plus USB 3.0 PCI-E Riser VER 010S Plus Express 1X to 16X Extender Pcie Riser Adapter Card SATA 6 LED Light 1 GB DDR2 Graphics Card,₹699
544,ZEBRONICS NVIDIA ZEB GT730 4 GB GDDR3 Graphics Card,"₹4,375"
545,microware NVIDIA PCI-E Extender Riser Card USB 3.0 1x to 16x Adapter for BTC Miner 16 GB GDDR4 Graphics Card,₹599
546,Nextar NVIDIA GPU Expansion Card Usb 3.0 PCI-E 1X to 16X Extender Riser Ver 009s Card 16 GB GDDR4 Graphics Card,₹499
547,GIGABYTE NVIDIA GeForce RTX™ 3060 VISION OC 12G 12 GB GDDR6 Graphics Card,"₹88,600"
548,ASUS NVIDIA GeForce Dual GTX 1650 4GB DDR6 GRAPHIC CARD 4 GB GDDR6 Graphics Card,"₹15,999"
549,ZOTAC NVIDIA GeForce GT 730 Zone Edition 4 GB DDR3 Graphics Card,"₹7,950"
550,Selito NVIDIA GTX 1060 3 GB GDDR5 Graphics Card,"₹12,999"
551,Etzin NVIDIA NVIDIA M.2 to PCI-E X16 Slot Adapter Card(EPL-409HS) 1 GB DDR2 Graphics Card,₹443
552,Etzin NVIDIA NVIDIA PCIe x1 to 4 USB Hub PCI-Expres(EPL-750PC) 1 GB DDR2 Graphics Card,"₹2,999"
553,srigs NVIDIA gt730ddr3 4 GB DDR3 Graphics Card,"₹3,999"
554,Xsentuals NVIDIA STC PCIe Riser Adapter VER 008S PCI-E 16x to 1x 60 cm USB 3.0 Extension Cable and 4 Pin 6 PinB-SATA Power -Ethereum Mining ETH 16 GB GDDR4 Graphics Card,₹479
555,ASUS NVIDIA DUAL-RTX3060-O12G 12 GB GDDR6 Graphics Card,"₹85,000"
556,GIGABYTE NVIDIA GeForce RTX™ 2060 D6 6G 6 GB GDDR6 Graphics Card,"₹54,500"
557,"Verilux NVIDIA Cable GPU Riser Adapter-Mining Bitcoin, Ethereum ETH Zcash ZEC Monero 1 GB DDR2 Graphics Card","₹1,307"
558,Nextron NVIDIA GT610 2 GB DDR3 Graphics Card,"₹2,999"
559,ZEB NVIDIA -GT610-1GD3 1 GB DDR3 Graphics Card,"₹2,550"
560,ITSNAVAKER NVIDIA CONSISTENT GRAPHICS CARD G210 1 GB DDR3 Graphics Card,"₹2,395"
561,GMP NVIDIA INKJET PVC ID CARD FOR EPSON PRINTER 800 MICRON 230 PCS 1 GB DDR2 Graphics Card,"₹1,000"
562,"Verilux NVIDIA Card for Key M 2230, 2242, 2260, 2280 Size M.2 SSD, Support PCIe x4 x8 x16 256 MB GDDR5 Graphics Card",₹619
563,ZEB NVIDIA GT610-2GD3 2 GB DDR3 Graphics Card,"₹2,950"
564,ZOTAC NVIDIA GAMING GeForce RTX 3050 Twin Edge 8 GB GDDR6 Graphics Card,"₹24,674"
565,ZOTAC NVIDIA GEFORCE RTX 4060 OC SPIDER-MANTM: ACROSS THE SPIDER-VERSE BUNDLE 8 GB GDDR6 Graphics Card,"₹32,283"
566,Verilux Intel PCI-E PCI Express 3.0 X4 to NVME M.2 NVME to NVME SSD PCI-e 3.0 x 4 Host Control 1 GB DDR3 Graphics Card,₹664
567,Selito AMD Radeon RX 580 8 GB GDDR5 Graphics Card,"₹10,999"
568,ZOTAC NVIDIA GeForce GT 730 4GB Zone Edition 4 GB DDR3 Graphics Card,"₹7,537"
569,ZOTAC NVIDIA GeForce RTX 3060 Twin Edge 12 GB GDDR6 Graphics Card,"₹29,022"
570,ZOTAC NVIDIA GeForce GT 710 2 GB DDR3 Graphics Card,"₹4,013"
571,Anwara NVIDIA POKEMON GOLD 16 GB GDDR4 Graphics Card,₹899
572,srigs NVIDIA zeb-gt-4gd3 4 GB DDR3 Graphics Card,"₹3,819"
573,"amd AMD Radeon Sapphire PULSE Radeon™ RX 6800 XT Graphic Card with 16 GB GDDR6, RDNA™ 2 16 GB GDDR6 Graphics Card","₹1,15,999"
574,Jack and Rex NVIDIA NGFF M.2 M key to USB 3.0 Adapter Card Extender M2 to USB3.0 Adapter Converter for PCI-E Riser Card Graphics GPU Mining Miner Package ships in Anti-electrostatic bags to prevent damage. 1 GB DDR2 Graphics Card,₹389
575,MSI AMD Radeon Radeon RX 6800 GAMING X TRIO 16G 16 GB GDDR6 Graphics Card,"₹92,390"
576,MSI AMD Radeon RX 6700 XT 12 GB GDDR6 Graphics Card,"₹76,999"
577,"Zorbes Intel VER009S-Gold PCIE Riser, PCIE Cable 6 Pin 1X to 16X Powered Pcie Riser Adapter 1 GB DDR3 Graphics Card",₹889
578,ZOTAC NVIDIA ZT-T20600H-10M 6 GB GDDR6 Graphics Card,"₹34,999"
579,MSI AMD Radeon Radeon RX 6600 XT MECH 2X 8G OC 8 GB GDDR6 Graphics Card,"₹41,706"
580,MSI AMD Radeon Radeon RX 6700 XT MECH 2X 12G OC 12 GB GDDR6 Graphics Card,"₹76,999"
581,REO AMD/ATI AMDR5340 2 GB DDR3 Graphics Card,"₹4,200"
582,"amd AMD Radeon Sapphire NITRO+ Radeon™ RX 6800 Graphic Card with 16 GB GDDR6, RDNA™ 2 16 GB GDDR6 Graphics Card","₹1,12,999"
583,Etzin NVIDIA NVIDIA PCI-E 1X to SATA pcie to sata10 port Card(EPL-751PC) 1 GB DDR2 Graphics Card,"₹7,999"
584,MSI NVIDIA GeForce RTX 3090 GAMING X TRIO 24G 24 GB GDDR6 Graphics Card,"₹1,79,999"
585,MSI AMD Radeon Radeon RX 6600 ARMOR 8G 8 GB GDDR6 Graphics Card,"₹44,509"
586,amd AMD Radeon Sapphire Nitro 16 GB GDDR6 Graphics Card,"₹1,07,799"
587,GIGABYTE AMD Radeon GV-R66XTEAGLE-8GD 8 GB GDDR6 Graphics Card,"₹46,999"
588,Tobo AMD/ATI Riser Card VER0010S Plus Ultra Latest / 8 Capacitor / GPU Riser / PCIE Riser Express Cable 16x to 1x Power PCIe Riser Adapter 80cm USB 3.0 Cable (VER 010S-Pack-2) 1 GB DDR2 Graphics Card,"₹1,754"
589,LipiWorld NVIDIA Pack Of 6 VER011-PRO Riser Card 10 Capacitors PCI-E 1X to 16X 16 GB GDDR4 Graphics Card,"₹2,999"
590,Verilux Intel 2 Pack Pi+ VER009S Gold PCI-E 6Pin 1X to 16X Powered Pcie Riser Adapter Card 256 MB DDR2 Graphics Card,"₹1,461"
591,Verilux NVIDIA PCI-E Extender Cable PCIe 16x to 16x Flexible GPU Riser Adapter Card Extender Cable 256 MB GDDR3 Graphics Card,₹769
592,LipiWorld NVIDIA (Pack Of 6) VER-14Pro V014 Pro PCI-E 1X to 16X Pcie Riser Card 16 GB GDDR4 Graphics Card,"₹3,299"
593,Etzin NVIDIA NVIDIA 6 Port SATA 3 PCI Express Expansion Card(EPL-752PC) 1 GB DDR2 Graphics Card,"₹4,999"
594,Verilux AMD/ATI PC PWM Fan Hub CPU Cooling HUB 10 Port 12V 4 Pin Fan PWM Splitter Splitter 256 MB GDDR5 Graphics Card,₹664
595,"Nextar NVIDIA VER 009S Riser Cable Black PCIE Riser 1X to 16X Graphics Extension for GPU Mining Powered Riser Adapter Card, 60cm USB 3.0 Cable, 4 Solid Capacitors, Two 6PIN & Molex 3 Power Options(Pack 0f 5) 16 GB GDDR4 Graphics Card","₹3,249"
596,"Nextar NVIDIA VER 009S Riser Cable Black PCIE Riser 1X to 16X Graphics Extension for GPU Mining Powered Riser Adapter Card, 60cm USB 3.0 Cable, 4 Solid Capacitors, Two 6PIN & Molex 3 Power Options(Pack 0f 2) 16 GB GDDR4 Graphics Card","₹1,545"
597,LipiWorld NVIDIA Pcie Splitter 1 to 4 PCI Riser Card PCIe 1 to 4 Port 4 Risers into 1 PCI Card 16 GB GDDR4 Graphics Card,"₹1,879"
598,Electronicspices AMD Radeon Zotac NTK FD5010U12S DC 12V 0.22AMP graphics fan 1 GB DDR5 Graphics Card,₹486
599,"Tobo NVIDIA M.2 to 2.5 inch SATA Enclosure,M.2 SSD to 2.5 inch SATA Adapter with case 10 GB DDR2 Graphics Card","₹1,374"
