,motherBoard,MRP
303,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot (LGA 1150 Socket) Motherboard,"₹2,449"
304,ASRock X570 Phantom Gaming4 Motherboard,"₹14,269"
305,ZEBRONICS Zeb-H61 Motherboard,"₹1,971"
306,ASRock B550 Taichi Motherboard,"₹23,449"
307,ASUS TUF GAMING B660M-PLUS WIFI D4 Motherboard,"₹18,821"
308,ZEBRONICS ZEB-H81 Motherboard,"₹2,478"
309,ASUS Prime H510M-E Motherboard,"₹7,499"
310,ASRock B660 Pro RS Motherboard,"₹11,499"
311,GIGABYTE MBG-B760MAORUSPROAX Motherboard,"₹23,999"
312,MSI MPG X570 GAMING PLUS ATX AM4 Gaming Motherboard,"₹23,699"
313,ASUS ROG STRIX B550-F GAMING WIFI II Motherboard,"₹23,999"
314,ASUS TUF GAMING B660M-PLUS D4 Motherboard,"₹18,999"
315,ASRock Z690 Steel Legend WiFi 6E Motherboard,"₹25,499"
316,MSI MAG B560 TOMAHAWK WIFI Motherboard,"₹20,599"
317,"ZEBRONICS ZEB-H61 LGA 1155 Socket ,128GB SATA 2.5"" SSD Combo Set Motherboard Motherboard","₹3,790"
318,MSI Z590 UNIFY Motherboard,"₹28,844"
319,Cansistant CONSISTENT_H61 Motherboard,"₹1,950"
320,GIGABYTE B560M-H V2 Motherboard,"₹7,149"
321,MSI B560M PRO-E Motherboard,"₹8,499"
322,ASRock Z690 Steel Legend Motherboard,"₹22,499"
323,GIGABYTE B550-Gaming X V2 Motherboard,"₹12,249"
324,Matrix MXH61 Motherboard,"₹1,976"
325,ASUS PRIME X670-P CSM Motherboard,"₹28,149"
326,ASRock Z790 Steel legend WiFi Motherboard,"₹30,299"
327,ASRock Z790 PG- ITX/TB4 Motherboard,"₹38,999"
328,Dtech Gigabyte H81M-S Motherboard,"₹3,499"
329,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,790"
330,GIGABYTE Z790 UD AC Motherboard,"₹26,999"
331,ASRock B650E Steel Legend WiFi Motherboard,"₹27,399"
332,"Raspberry Pi 4 Model B 8GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 8GB Motherboard","₹12,999"
333,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
334,"Raspberry Pi 4 Model B 2GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 2GB Motherboard","₹8,500"
335,MSI MPG B550 Gaming Plus Motherboard,"₹17,999"
336,ASUS TUF GAMING B650M-PLUS WIFI Motherboard,"₹23,161"
337,ASUS EX-B660M-V5 D4 Motherboard,"₹11,924"
338,Dtech H110M4-C2H Motherboard,"₹2,999"
339,MSI MEG Z490I UNIFY Mini-ATX LGA 1200 Gaming Motherboard,"₹19,667"
340,MSI MEG X570 UNIFY ATX AM4 Gaming Motherboard,"₹35,007"
341,ZEBRONICS H61M2+240GB WD SSD + 8GB starlite DDR3 RAM with CORE i5 3RD GEN CPU Combo set Motherboard,"₹7,200"
342,Ant Value H61MAD3 Motherboard,"₹5,499"
343,ASUS TUF GAMING B650M-PLUS Motherboard,"₹21,585"
344,GIGABYTE B550-Aorus Elite AX V2 Motherboard,"₹16,800"
345,ASUS Rog Strix Z690-A Gaming Wifi D4 Motherboard,"₹37,199"
346,MSI MAG B550 TOMAHAWK Motherboard,"₹18,000"
347,ASRock B650 PG Lightning Motherboard,"₹20,799"
348,ASRock B550 Pro4 Motherboard,"₹16,149"
349,ZEBRONICS ZEB-G41 - D2 Motherboard,"₹2,390"
350,ASRock Z690M-ITX/ax Motherboard,"₹21,499"
351,Frontech H61/1155 DDR3 Motherboard,"₹2,059"
352,ASRock Z590 OC Formula Motherboard,"₹55,809"
353,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
354,ASUS PROART B660-CREATOR D4 Motherboard,"₹25,609"
355,ASRock Z590 Phantom Gaming4/AC Motherboard,"₹15,569"
356,ASRock B650 Pro RS Motherboard,"₹21,949"
357,MSI Z590 PRO WIFI Motherboard,"₹21,699"
358,GEONIX GX-H81 D3 Motherboard,"₹2,690"
359,ZEBRONICS G41 Motherboard,"₹1,999"
360,MSI Z590 PRO WIFI Motherboard,"₹21,699"
361,ASRock B650 Pro RS Motherboard,"₹21,949"
362,ZEBRONICS ZEB H61 MBRD Motherboard,"₹2,199"
363,MSI MEG Z690 Ace E-ATX Motherboard,"₹74,078"
364,MSI PRO Z690-A WIFI Motherboard,"₹28,999"
365,ZEBRONICS G41 Motherboard,"₹1,999"
366,GEONIX GX-H81 D3 Motherboard,"₹2,690"
367,MSI Z490-A PRO ATX LGA 1200 Gaming Motherboard,"₹12,999"
368,ASRock Z690 Taichi Razer Edition Motherboard,"₹54,999"
369,GIGABYTE ?B760M DS3H AX Motherboard,"₹17,499"
370,ASUS Tuf Gaming Z690-Plus D4 Motherboard,"₹25,498"
371,ZEBRONICS H61+240GB CRUCIAL SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,999"
372,ZEBRONICS H61 Supported Socket 1155 RAM DDR3 Motherboard,"₹2,225"
373,MSI MPG Z490 GAMING CARBON WIFI ATX LGA 1200 Gaming Motherboard,"₹27,879"
374,"Raspberry Pi 4 Model B 4GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 4GB Motherboard","₹9,500"
375,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
376,ASUS Prime Z690M-Plus Motherboard,"₹21,009"
377,ASRock Z790 Pro RS WiFi Motherboard,"₹28,849"
378,ASUS ?TUF GAMING Z790-PLUS WIFI Motherboard,"₹35,999"
379,MSI MPG Z490 GAMING EDGE WIFI ATX LGA 1200 Gaming Motherboard,"₹22,799"
380,ASRock Z790M PG Lightning/D4 Motherboard,"₹19,039"
381,ZEBRONICS H61 Mboard + i5 3470 Processor + 4GB DDR3 Ram + CPU Fan Motherboard,"₹4,761"
382,ASRock Z690M Phantom Gaming 4 Motherboard,"₹13,499"
383,AARVEX 61 Motherboard,"₹3,050"
384,ASUS PRIME B660-PLUS D4 Motherboard,"₹16,999"
385,ASUS PRIME X570- PRO/CSM Motherboard,"₹26,999"
386,ASUS Tuf Gaming Z690-Plus Wifi D4 Motherboard,"₹25,606"
387,ASUS TUF GAMING Z590-PLUS Motherboard,"₹19,799"
388,ASUS EX B460M-V5 Motherboard,"₹8,742"
389,ASUS PRIME X670 P WIFI CSM Motherboard,"₹30,002"
390,FOXI FOXIN H81 MOTHERBOARD Motherboard,"₹3,880"
391,"Raspberry Pi 3 Model B 1GB RAM, 1.2GHz CPU, WiFi/BLE, 40 GPIO Pins Single Board Computer Motherboard","₹4,649"
392,ZEBRONICS Zeb-H61M2 with M2 slot LGA 1155 Socket Motherboard,"₹2,449"
393,ASRock Z790M -ITX WiFi Motherboard,"₹26,139"
394,MSI MEG Z590I UNIFY Motherboard,"₹37,399"
395,ASUS PRIME B660M-A D4 Motherboard,"₹14,499"
396,MSI MPG Z690 CARBON EK X Motherboard,"₹40,513"
397,MSI MPG Z690 EDGE WIFI DDR4 Motherboard,"₹32,100"
398,ASUS TUF Gaming Z590-Plus Wi-Fi Motherboard,"₹22,532"
399,ZEBRONICS ZEB-G41 D3 Motherboard,"₹2,450"
400,ASRock B450M-HDV Motherboard,"₹5,678"
401,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot Motherboard,"₹2,449"
402,ZEBRONICS H61-i5-4GB-PFAN-COMBO Motherboard,"₹3,799"
403,ZEBRONICS Zeb H61M2 Motherboard with M2 slot LGA 1155 Socket Motherboard,"₹2,299"
404,ASUS PRIME H610M-E D4 Motherboard,"₹8,950"
405,MSI B550M PRO-VDH WIFI Motherboard,"₹12,999"
406,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,299"
407,Ant Value G41MAD3 Motherboard,"₹2,161"
408,ASUS PRIME B550M-A WIFI II Motherboard,"₹13,999"
409,ASUS PRIME A320M-K Motherboard,"₹5,999"
410,ZEBRONICS ZEB-H61 Motherboard,"₹2,299"
411,ASUS Prime-B450M-A-II Motherboard,"₹8,999"
412,ZEBRONICS H61 Motherboard,"₹2,104"
413,ASRock B550M Pro4 Motherboard,"₹9,389"
414,GIGABYTE A520M K Motherboard,"₹5,899"
415,ASUS ROG STRIX Z590-E Gaming Wi-Fi Motherboard,"₹33,517"
416,ASUS ?PRIME H410M-E Motherboard,"₹6,999"
417,"MSI PRO H510M-B Motherboard, Micro-ATX Motherboard","₹5,999"
418,ASUS ?ROG STRIX Z790-H GAMING WIFI Motherboard,"₹35,519"
419,GIGABYTE B550M-DS3H Motherboard,"₹9,800"
420,Frontech FT- H61 with Nvme slot LGA 1155 Socket Motherboard,"₹2,199"
421,ASUS TUF Gaming B550-PLUS Motherboard,"₹15,926"
422,GEONIX GX-H61 DDR3 Motherboard|2.0 USB| LGA 1155 Support Intel 2nd and 3rd Gen CPU DDR3 Motherboard,"₹1,999"
423,ASUS ROG STRIX X670E A GAMING WIFI Motherboard,"₹41,739"
424,MSI B450M PRO-VDH MAX Mini-ATX AM4 Gaming Motherboard,"₹8,899"
425,GIGABYTE B450M DS3H (AMD Ryzen AM4/M.2/HMDI/DVI/USB 3.1/DDR4/Micro ATX) Motherboard,"₹8,190"
426,ASUS TUF Gaming B560M-Plus Motherboard,"₹14,462"
427,LAPCARE h81 Motherboard,"₹3,299"
428,ASRock B560 Steel Legend Motherboard,"₹11,720"
429,MSI MEG Z590 GODLIKE Motherboard,"₹98,999"
430,ASUS ROG STRIX Z590-F Gaming Wi-Fi Motherboard,"₹29,999"
431,ASRock B550 PG Riptide Motherboard,"₹12,179"
432,ASRock Z690 Pro RS Motherboard,"₹17,999"
433,ASUS Prime Z690-A Motherboard,"₹29,950"
434,Raspberry Pi 4-Model B-8GB RAM Motherboard,"₹8,099"
435,MSI PRO H410M-B Motherboard,"₹6,999"
436,Raspberry Pi 3 Model B+ Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B Plus Motherboard,"₹5,499"
437,ZEBRONICS ZEB-61 MOTHERBOARD Motherboard,"₹2,225"
438,ASUS Prime Z690-P D4 Motherboard,"₹21,499"
439,ASUS ROG Strix Z490-F Gaming Motherboard,"₹25,719"
440,ASRock H610M-HDV/M.2 Motherboard,"₹7,019"
441,ASUS Prime B550M-K Motherboard,"₹10,384"
442,MSI A320M-A PRO AMD AM4 m-ATX DDR4 Motherboard,"₹5,999"
443,GIGABYTE B650M K Motherboard,"₹14,500"
444,GIGABYTE B550 GAMING X Motherboard,"₹12,205"
445,ZEBRONICS ZEB-H61M2 with PCIE M.2 / NVMe Slot (LGA 1155 Socket) Motherboard,"₹2,299"
446,ZEBRONICS ZEB-H310-NVMe Motherboard,"₹4,999"
447,ZEBRONICS Zeb H110-D4 LGA 1151 Socket Motherboard Motherboard,"₹4,337"
448,ZEB ZEBRONICS H61M2 Motherboard,"₹2,049"
449,EXPERTRONICS Consistent CMB G41-II DDR2 (3 Year Warranty) Motherboard,"₹2,038"
450,ASUS TUF-GAMING-B550M-E Motherboard,"₹13,181"
451,GEONIX Geonix_H61 Motherboard,"₹1,790"
452,ZEBRONICS Zeb H110-D4 Motherboard,"₹3,980"
453,ASUS TUF GAMING X670E PLUS Motherboard,"₹32,952"
454,GIGABYTE B450-Aorus Elite V2 Motherboard,"₹10,043"
455,"Enter E-G41D2 (4SATA, 775LGA, DDR2, 10/100LAN, Intel G41+ICH7 Chipset, 5.1Audio, PCIe) Motherboard","₹1,945"
456,Frontech G41/775 DDR2 Motherboard,"₹1,974"
457,Matrix MXH81 Motherboard,"₹2,591"
458,Ant Value H110MAD4 Motherboard,"₹4,256"
459,MSI PRO B660-A DDR4 Motherboard,"₹24,449"
460,"Enter i3,i5,i7 SUPPORT E-H61 MOTHERBOARD Motherboard","₹2,070"
461,GIGABYTE B450-S2H Motherboard,"₹6,749"
462,ASRock B560 Pro4 Motherboard,"₹9,299"
463,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot (LGA 1150 Socket) Motherboard,"₹2,449"
464,ASRock X570 Phantom Gaming4 Motherboard,"₹14,269"
465,ZEBRONICS Zeb-H61 Motherboard,"₹1,971"
466,ASRock B550 Taichi Motherboard,"₹23,449"
467,ASUS TUF GAMING B660M-PLUS WIFI D4 Motherboard,"₹18,821"
468,ZEBRONICS ZEB-H81 Motherboard,"₹2,478"
469,ASUS Prime H510M-E Motherboard,"₹7,499"
470,ASRock B660 Pro RS Motherboard,"₹11,499"
471,GIGABYTE MBG-B760MAORUSPROAX Motherboard,"₹23,999"
472,MSI MPG X570 GAMING PLUS ATX AM4 Gaming Motherboard,"₹23,699"
473,ASUS ROG STRIX B550-F GAMING WIFI II Motherboard,"₹23,999"
474,ASUS TUF GAMING B660M-PLUS D4 Motherboard,"₹18,999"
475,ASRock Z690 Steel Legend WiFi 6E Motherboard,"₹25,499"
476,MSI MAG B560 TOMAHAWK WIFI Motherboard,"₹20,599"
477,"ZEBRONICS ZEB-H61 LGA 1155 Socket ,128GB SATA 2.5"" SSD Combo Set Motherboard Motherboard","₹3,790"
478,MSI Z590 UNIFY Motherboard,"₹28,844"
479,Cansistant CONSISTENT_H61 Motherboard,"₹1,950"
480,GIGABYTE B560M-H V2 Motherboard,"₹7,149"
481,MSI B560M PRO-E Motherboard,"₹8,499"
482,ASRock Z690 Steel Legend Motherboard,"₹22,499"
483,GIGABYTE B550-Gaming X V2 Motherboard,"₹12,249"
484,Matrix MXH61 Motherboard,"₹1,976"
485,ASUS PRIME X670-P CSM Motherboard,"₹28,149"
486,ASRock Z790 Steel legend WiFi Motherboard,"₹30,299"
487,ASRock Z790 PG- ITX/TB4 Motherboard,"₹38,999"
488,Dtech Gigabyte H81M-S Motherboard,"₹3,499"
489,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,790"
490,GIGABYTE Z790 UD AC Motherboard,"₹26,999"
491,ASRock B650E Steel Legend WiFi Motherboard,"₹27,399"
492,"Raspberry Pi 4 Model B 8GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 8GB Motherboard","₹12,999"
493,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
494,"Raspberry Pi 4 Model B 2GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 2GB Motherboard","₹8,500"
495,MSI MPG B550 Gaming Plus Motherboard,"₹17,999"
496,ASUS TUF GAMING B650M-PLUS WIFI Motherboard,"₹23,161"
497,ASUS EX-B660M-V5 D4 Motherboard,"₹11,924"
498,Dtech H110M4-C2H Motherboard,"₹2,999"
499,MSI MEG Z490I UNIFY Mini-ATX LGA 1200 Gaming Motherboard,"₹19,667"
500,MSI MEG X570 UNIFY ATX AM4 Gaming Motherboard,"₹35,007"
501,ZEBRONICS H61M2+240GB WD SSD + 8GB starlite DDR3 RAM with CORE i5 3RD GEN CPU Combo set Motherboard,"₹7,200"
502,Ant Value H61MAD3 Motherboard,"₹5,499"
503,ASUS TUF GAMING B650M-PLUS Motherboard,"₹21,585"
504,GIGABYTE B550-Aorus Elite AX V2 Motherboard,"₹16,800"
505,ASUS Rog Strix Z690-A Gaming Wifi D4 Motherboard,"₹37,199"
506,MSI MAG B550 TOMAHAWK Motherboard,"₹18,000"
507,ASRock B650 PG Lightning Motherboard,"₹20,799"
508,ASRock B550 Pro4 Motherboard,"₹16,149"
509,ZEBRONICS ZEB-G41 - D2 Motherboard,"₹2,390"
510,ASRock Z690M-ITX/ax Motherboard,"₹21,499"
511,Frontech H61/1155 DDR3 Motherboard,"₹2,059"
512,ASRock Z590 OC Formula Motherboard,"₹55,809"
513,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
514,ASUS PROART B660-CREATOR D4 Motherboard,"₹25,609"
515,ASRock Z590 Phantom Gaming4/AC Motherboard,"₹15,569"
516,ASRock B650 Pro RS Motherboard,"₹21,949"
517,MSI Z590 PRO WIFI Motherboard,"₹21,699"
518,GEONIX GX-H81 D3 Motherboard,"₹2,690"
519,ZEBRONICS G41 Motherboard,"₹1,999"
520,MSI Z590 PRO WIFI Motherboard,"₹21,699"
521,ASRock B650 Pro RS Motherboard,"₹21,949"
522,ZEBRONICS ZEB H61 MBRD Motherboard,"₹2,199"
523,MSI MEG Z690 Ace E-ATX Motherboard,"₹74,078"
524,MSI PRO Z690-A WIFI Motherboard,"₹28,999"
525,ZEBRONICS G41 Motherboard,"₹1,999"
526,GEONIX GX-H81 D3 Motherboard,"₹2,690"
527,MSI Z490-A PRO ATX LGA 1200 Gaming Motherboard,"₹12,999"
528,ASRock Z690 Taichi Razer Edition Motherboard,"₹54,999"
529,GIGABYTE ?B760M DS3H AX Motherboard,"₹17,499"
530,ASUS Tuf Gaming Z690-Plus D4 Motherboard,"₹25,498"
531,ZEBRONICS H61+240GB CRUCIAL SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,999"
532,ZEBRONICS H61 Supported Socket 1155 RAM DDR3 Motherboard,"₹2,225"
533,MSI MPG Z490 GAMING CARBON WIFI ATX LGA 1200 Gaming Motherboard,"₹27,879"
534,"Raspberry Pi 4 Model B 4GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 4GB Motherboard","₹9,500"
535,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
536,ASUS Prime Z690M-Plus Motherboard,"₹21,009"
537,ASRock Z790 Pro RS WiFi Motherboard,"₹28,849"
538,ASUS ?TUF GAMING Z790-PLUS WIFI Motherboard,"₹35,999"
539,MSI MPG Z490 GAMING EDGE WIFI ATX LGA 1200 Gaming Motherboard,"₹22,799"
540,ASRock Z790M PG Lightning/D4 Motherboard,"₹19,039"
541,ZEBRONICS H61 Mboard + i5 3470 Processor + 4GB DDR3 Ram + CPU Fan Motherboard,"₹4,761"
542,ASRock Z690M Phantom Gaming 4 Motherboard,"₹13,499"
543,AARVEX 61 Motherboard,"₹3,050"
544,ASUS PRIME B660-PLUS D4 Motherboard,"₹16,999"
545,ASUS PRIME X570- PRO/CSM Motherboard,"₹26,999"
546,ASUS Tuf Gaming Z690-Plus Wifi D4 Motherboard,"₹25,606"
547,ASUS TUF GAMING Z590-PLUS Motherboard,"₹19,799"
548,ASUS EX B460M-V5 Motherboard,"₹8,742"
549,ASUS PRIME X670 P WIFI CSM Motherboard,"₹30,002"
550,FOXI FOXIN H81 MOTHERBOARD Motherboard,"₹3,880"
551,"Raspberry Pi 3 Model B 1GB RAM, 1.2GHz CPU, WiFi/BLE, 40 GPIO Pins Single Board Computer Motherboard","₹4,649"
552,ZEBRONICS Zeb-H61M2 with M2 slot LGA 1155 Socket Motherboard,"₹2,449"
553,ASRock Z790M -ITX WiFi Motherboard,"₹26,139"
554,MSI MEG Z590I UNIFY Motherboard,"₹37,399"
555,ASUS PRIME B660M-A D4 Motherboard,"₹14,499"
556,MSI MPG Z690 CARBON EK X Motherboard,"₹40,513"
557,MSI MPG Z690 EDGE WIFI DDR4 Motherboard,"₹32,100"
558,ASUS TUF Gaming Z590-Plus Wi-Fi Motherboard,"₹22,532"
559,ZEBRONICS ZEB-G41 D3 Motherboard,"₹2,450"
560,ZEBRONICS G41 Supported Socket 775 RAM DDR3 Motherboard,"₹2,019"
561,MSI MPG Z590 GAMING EDGE WIFI Motherboard,"₹29,518"
562,ZEBRONICS ZEB-G41-D2S Motherboard,"₹2,310"
563,GIGABYTE ?B760M DS3H AX DDR4 Motherboard,"₹16,999"
564,ZEBRONICS ZEB -H61 Motherboard,"₹2,190"
565,ZEBRONICS ZEB-H81M2 with NVMe Slot + Scuda 256GB NVMe SSD Combo Set (LGA 1150) Motherboard,"₹4,749"
566,Frontech H110/1151 DDR4 Motherboard,"₹3,819"
567,zebion H-61 Motherboard Motherboard,"₹2,800"
568,Frontech H55/1156 Motherboard,"₹2,129"
569,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
570,Dtech Lapcare H61 LA Motherboard,"₹2,399"
571,PAC 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard Motherboard,₹345
572,IKIS New PCI 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard,₹449
573,Dtech Gigabyte B75MS Motherboard with 3rd gen Core i3 Processor and 4Gb Ram Motherboard,"₹5,499"
574,aht M3A785GM-LE Motherboard,"₹1,615"
575,ZEBRONICS H81+128GB SATA SSD+4GB starlite DDR3 RAM with Pentium Dualcore G3250 CPU Combo Motherboard,"₹5,999"
576,Dtech Gigabyte GA-H61M-S Motherboard,"₹2,499"
577,Raspberry Pi 3 Model B Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B 1GB Motherboard,"₹5,499"
578,"ZEBRONICS ZEBH61 CORE I5 2400 8 GB RAM, FAN Motherboard","₹4,150"
579,Dtech Asus M4N68T-M LE V2 Motherboard,"₹2,399"
580,LAPCARE H110 Motherboard,"₹4,289"
581,ZEBRONICS Z31/G31 Combo kit Motherboard,"₹3,750"
582,GIGABYTE B560M-DS2H-AC Motherboard,"₹12,400"
583,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM Combo set Motherboard,"₹5,062"
584,ASUS ROG STRIX B660A-GAMING-WiFi D4 Motherboard,"₹23,499"
585,ZEBRONICS ZEB-H61M2 with NVMe Slot + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹4,549"
586,Raspberry Pi 4 Model B 2GB RAM Motherboard,"₹5,999"
587,ZEBRONICS H61M2+240GB WD SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹6,500"
588,ZEBRONICS G41+128 GB SATA SSD + 4GB starlite DDR3 RAM with Core 2 Duo CPU Combo set Motherboard,"₹5,211"
589,Cmos Micro Lithium Cell CR2032 Motherboard,₹202
590,RashMove FMB-G41(DDR3) Motherboard,"₹4,500"
591,ZEB ZEBRONICS_H61M2 Motherboard,"₹3,249"
592,GIGABYTE 110MH Motherboard,"₹7,499"
593,MSI Z590 PLUS Motherboard,"₹17,649"
