,motherBoard,MRP
876,Raspberry Pi 3 Model B+ Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B Plus Motherboard,"₹5,499"
877,ZEBRONICS ZEB-61 MOTHERBOARD Motherboard,"₹2,225"
878,ASUS Prime Z690-P D4 Motherboard,"₹21,499"
879,ASUS ROG Strix Z490-F Gaming Motherboard,"₹25,719"
880,ASRock H610M-HDV/M.2 Motherboard,"₹7,019"
881,ASUS Prime B550M-K Motherboard,"₹10,384"
882,MSI A320M-A PRO AMD AM4 m-ATX DDR4 Motherboard,"₹5,999"
883,GIGABYTE B650M K Motherboard,"₹14,500"
884,GIGABYTE B550 GAMING X Motherboard,"₹12,205"
885,ZEBRONICS ZEB-H61M2 with PCIE M.2 / NVMe Slot (LGA 1155 Socket) Motherboard,"₹2,299"
886,ZEBRONICS ZEB-H310-NVMe Motherboard,"₹4,999"
887,ZEBRONICS Zeb H110-D4 LGA 1151 Socket Motherboard Motherboard,"₹4,337"
888,ZEB ZEBRONICS H61M2 Motherboard,"₹2,049"
889,EXPERTRONICS Consistent CMB G41-II DDR2 (3 Year Warranty) Motherboard,"₹2,038"
890,ASUS TUF-GAMING-B550M-E Motherboard,"₹13,181"
891,GEONIX Geonix_H61 Motherboard,"₹1,790"
892,ZEBRONICS Zeb H110-D4 Motherboard,"₹3,980"
893,ASUS TUF GAMING X670E PLUS Motherboard,"₹32,952"
894,GIGABYTE B450-Aorus Elite V2 Motherboard,"₹10,043"
895,"Enter E-G41D2 (4SATA, 775LGA, DDR2, 10/100LAN, Intel G41+ICH7 Chipset, 5.1Audio, PCIe) Motherboard","₹1,945"
896,Frontech G41/775 DDR2 Motherboard,"₹1,974"
897,Matrix MXH81 Motherboard,"₹2,591"
898,Ant Value H110MAD4 Motherboard,"₹4,256"
899,MSI PRO B660-A DDR4 Motherboard,"₹24,449"
900,"Enter i3,i5,i7 SUPPORT E-H61 MOTHERBOARD Motherboard","₹2,070"
901,GIGABYTE B450-S2H Motherboard,"₹6,749"
902,ASRock B560 Pro4 Motherboard,"₹9,299"
903,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot (LGA 1150 Socket) Motherboard,"₹2,449"
904,ASRock X570 Phantom Gaming4 Motherboard,"₹14,269"
905,ZEBRONICS Zeb-H61 Motherboard,"₹1,971"
906,ASRock B550 Taichi Motherboard,"₹23,449"
907,ASUS TUF GAMING B660M-PLUS WIFI D4 Motherboard,"₹18,821"
908,ZEBRONICS ZEB-H81 Motherboard,"₹2,478"
909,ASUS Prime H510M-E Motherboard,"₹7,499"
910,ASRock B660 Pro RS Motherboard,"₹11,499"
911,GIGABYTE MBG-B760MAORUSPROAX Motherboard,"₹23,999"
912,MSI MPG X570 GAMING PLUS ATX AM4 Gaming Motherboard,"₹23,699"
913,ASUS ROG STRIX B550-F GAMING WIFI II Motherboard,"₹23,999"
914,ASUS TUF GAMING B660M-PLUS D4 Motherboard,"₹18,999"
915,ASRock Z690 Steel Legend WiFi 6E Motherboard,"₹25,499"
916,MSI MAG B560 TOMAHAWK WIFI Motherboard,"₹20,599"
917,"ZEBRONICS ZEB-H61 LGA 1155 Socket ,128GB SATA 2.5"" SSD Combo Set Motherboard Motherboard","₹3,790"
918,MSI Z590 UNIFY Motherboard,"₹28,844"
919,Cansistant CONSISTENT_H61 Motherboard,"₹1,950"
920,GIGABYTE B560M-H V2 Motherboard,"₹7,149"
921,MSI B560M PRO-E Motherboard,"₹8,499"
922,ASRock Z690 Steel Legend Motherboard,"₹22,499"
923,GIGABYTE B550-Gaming X V2 Motherboard,"₹12,249"
924,Matrix MXH61 Motherboard,"₹1,976"
925,ASUS PRIME X670-P CSM Motherboard,"₹28,149"
926,ASRock Z790 Steel legend WiFi Motherboard,"₹30,299"
927,ASRock Z790 PG- ITX/TB4 Motherboard,"₹38,999"
928,Dtech Gigabyte H81M-S Motherboard,"₹3,499"
929,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,790"
930,GIGABYTE Z790 UD AC Motherboard,"₹26,999"
931,ASRock B650E Steel Legend WiFi Motherboard,"₹27,399"
932,"Raspberry Pi 4 Model B 8GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 8GB Motherboard","₹12,999"
933,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
934,"Raspberry Pi 4 Model B 2GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 2GB Motherboard","₹8,500"
935,MSI MPG B550 Gaming Plus Motherboard,"₹17,999"
936,ASUS TUF GAMING B650M-PLUS WIFI Motherboard,"₹23,161"
937,ASUS EX-B660M-V5 D4 Motherboard,"₹11,924"
938,Dtech H110M4-C2H Motherboard,"₹2,999"
939,MSI MEG Z490I UNIFY Mini-ATX LGA 1200 Gaming Motherboard,"₹19,667"
940,MSI MEG X570 UNIFY ATX AM4 Gaming Motherboard,"₹35,007"
941,ZEBRONICS H61M2+240GB WD SSD + 8GB starlite DDR3 RAM with CORE i5 3RD GEN CPU Combo set Motherboard,"₹7,200"
942,Ant Value H61MAD3 Motherboard,"₹5,499"
943,ASUS TUF GAMING B650M-PLUS Motherboard,"₹21,585"
944,GIGABYTE B550-Aorus Elite AX V2 Motherboard,"₹16,800"
945,ASUS Rog Strix Z690-A Gaming Wifi D4 Motherboard,"₹37,199"
946,MSI MAG B550 TOMAHAWK Motherboard,"₹18,000"
947,ASRock B650 PG Lightning Motherboard,"₹20,799"
948,ASRock B550 Pro4 Motherboard,"₹16,149"
949,ZEBRONICS ZEB-G41 - D2 Motherboard,"₹2,390"
950,ASRock Z690M-ITX/ax Motherboard,"₹21,499"
951,Frontech H61/1155 DDR3 Motherboard,"₹2,059"
952,ASRock Z590 OC Formula Motherboard,"₹55,809"
953,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
954,ASUS PROART B660-CREATOR D4 Motherboard,"₹25,609"
955,ASRock Z590 Phantom Gaming4/AC Motherboard,"₹15,569"
956,ASRock B650 Pro RS Motherboard,"₹21,949"
957,MSI Z590 PRO WIFI Motherboard,"₹21,699"
958,GEONIX GX-H81 D3 Motherboard,"₹2,690"
959,ZEBRONICS G41 Motherboard,"₹1,999"
960,MSI Z590 PRO WIFI Motherboard,"₹21,699"
961,ASRock B650 Pro RS Motherboard,"₹21,949"
962,ZEBRONICS ZEB H61 MBRD Motherboard,"₹2,199"
963,MSI MEG Z690 Ace E-ATX Motherboard,"₹74,078"
964,MSI PRO Z690-A WIFI Motherboard,"₹28,999"
965,ZEBRONICS G41 Motherboard,"₹1,999"
966,GEONIX GX-H81 D3 Motherboard,"₹2,690"
967,MSI Z490-A PRO ATX LGA 1200 Gaming Motherboard,"₹12,999"
968,ASRock Z690 Taichi Razer Edition Motherboard,"₹54,999"
969,GIGABYTE ?B760M DS3H AX Motherboard,"₹17,499"
970,ASUS Tuf Gaming Z690-Plus D4 Motherboard,"₹25,498"
971,ZEBRONICS H61+240GB CRUCIAL SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,999"
972,ZEBRONICS H61 Supported Socket 1155 RAM DDR3 Motherboard,"₹2,225"
973,MSI MPG Z490 GAMING CARBON WIFI ATX LGA 1200 Gaming Motherboard,"₹27,879"
974,"Raspberry Pi 4 Model B 4GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 4GB Motherboard","₹9,500"
975,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
976,ASUS Prime Z690M-Plus Motherboard,"₹21,009"
977,ASRock Z790 Pro RS WiFi Motherboard,"₹28,849"
978,ASUS ?TUF GAMING Z790-PLUS WIFI Motherboard,"₹35,999"
979,MSI MPG Z490 GAMING EDGE WIFI ATX LGA 1200 Gaming Motherboard,"₹22,799"
980,ASRock Z790M PG Lightning/D4 Motherboard,"₹19,039"
981,ZEBRONICS H61 Mboard + i5 3470 Processor + 4GB DDR3 Ram + CPU Fan Motherboard,"₹4,761"
982,ASRock Z690M Phantom Gaming 4 Motherboard,"₹13,499"
983,AARVEX 61 Motherboard,"₹3,050"
984,ASUS PRIME B660-PLUS D4 Motherboard,"₹16,999"
985,ASUS PRIME X570- PRO/CSM Motherboard,"₹26,999"
986,ASUS Tuf Gaming Z690-Plus Wifi D4 Motherboard,"₹25,606"
987,ASUS TUF GAMING Z590-PLUS Motherboard,"₹19,799"
988,ASUS EX B460M-V5 Motherboard,"₹8,742"
989,ASUS PRIME X670 P WIFI CSM Motherboard,"₹30,002"
990,FOXI FOXIN H81 MOTHERBOARD Motherboard,"₹3,880"
991,"Raspberry Pi 3 Model B 1GB RAM, 1.2GHz CPU, WiFi/BLE, 40 GPIO Pins Single Board Computer Motherboard","₹4,649"
992,ZEBRONICS Zeb-H61M2 with M2 slot LGA 1155 Socket Motherboard,"₹2,449"
993,ASRock Z790M -ITX WiFi Motherboard,"₹26,139"
994,MSI MEG Z590I UNIFY Motherboard,"₹37,399"
995,ASUS PRIME B660M-A D4 Motherboard,"₹14,499"
996,MSI MPG Z690 CARBON EK X Motherboard,"₹40,513"
997,MSI MPG Z690 EDGE WIFI DDR4 Motherboard,"₹32,100"
998,ASUS TUF Gaming Z590-Plus Wi-Fi Motherboard,"₹22,532"
999,ZEBRONICS ZEB-G41 D3 Motherboard,"₹2,450"
1000,ZEBRONICS G41 Supported Socket 775 RAM DDR3 Motherboard,"₹2,019"
1001,MSI MPG Z590 GAMING EDGE WIFI Motherboard,"₹29,518"
1002,ZEBRONICS ZEB-G41-D2S Motherboard,"₹2,310"
1003,GIGABYTE ?B760M DS3H AX DDR4 Motherboard,"₹16,999"
1004,ZEBRONICS ZEB -H61 Motherboard,"₹2,190"
1005,ZEBRONICS ZEB-H81M2 with NVMe Slot + Scuda 256GB NVMe SSD Combo Set (LGA 1150) Motherboard,"₹4,749"
1006,Frontech H110/1151 DDR4 Motherboard,"₹3,819"
1007,zebion H-61 Motherboard Motherboard,"₹2,800"
1008,Frontech H55/1156 Motherboard,"₹2,129"
1009,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
1010,Dtech Lapcare H61 LA Motherboard,"₹2,399"
1011,PAC 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard Motherboard,₹345
1012,IKIS New PCI 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard,₹449
1013,Dtech Gigabyte B75MS Motherboard with 3rd gen Core i3 Processor and 4Gb Ram Motherboard,"₹5,499"
1014,aht M3A785GM-LE Motherboard,"₹1,615"
1015,ZEBRONICS H81+128GB SATA SSD+4GB starlite DDR3 RAM with Pentium Dualcore G3250 CPU Combo Motherboard,"₹5,999"
1016,Dtech Gigabyte GA-H61M-S Motherboard,"₹2,499"
1017,Raspberry Pi 3 Model B Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B 1GB Motherboard,"₹5,499"
1018,"ZEBRONICS ZEBH61 CORE I5 2400 8 GB RAM, FAN Motherboard","₹4,150"
1019,Dtech Asus M4N68T-M LE V2 Motherboard,"₹2,399"
1020,LAPCARE H110 Motherboard,"₹4,289"
1021,ZEBRONICS Z31/G31 Combo kit Motherboard,"₹3,750"
1022,GIGABYTE B560M-DS2H-AC Motherboard,"₹12,400"
1023,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM Combo set Motherboard,"₹5,062"
1024,ASUS ROG STRIX B660A-GAMING-WiFi D4 Motherboard,"₹23,499"
1025,ZEBRONICS ZEB-H61M2 with NVMe Slot + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹4,549"
1026,Raspberry Pi 4 Model B 2GB RAM Motherboard,"₹5,999"
1027,ZEBRONICS H61M2+240GB WD SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹6,500"
1028,ZEBRONICS G41+128 GB SATA SSD + 4GB starlite DDR3 RAM with Core 2 Duo CPU Combo set Motherboard,"₹5,211"
1029,Cmos Micro Lithium Cell CR2032 Motherboard,₹202
1030,RashMove FMB-G41(DDR3) Motherboard,"₹4,500"
1031,ZEB ZEBRONICS_H61M2 Motherboard,"₹3,249"
1032,GIGABYTE 110MH Motherboard,"₹7,499"
1033,MSI Z590 PLUS Motherboard,"₹17,649"
1034,TECHON New PCI 4-digit PC Diagnostic Card With User Manual (red) Motherboard,₹331
1035,ZEBRONICS H81M2+ Starlite 256GB NVME SSD & 8GB RAM with Intel Core i3 Processor combo set Motherboard,"₹8,948"
1036,ZEBRONICS H81+240GB CRUCIAL SSD + 4GB starlite DDR3 RAM with CORE i3 4Th GEN CPU Combo set Motherboard,"₹7,749"
1037,ZEBRONICS ZEB-H61 Motherboard,"₹2,449"
1038,Dtech ECS H61H2 Motherboard Intel G2020 Processor 2Gb Adata Ram DDR3 Motherboard,"₹2,799"
1039,ZEBRONICS H55-COMBO-KIT-4GB Motherboard,"₹4,850"
1040,sillora X99 + E2 2620 V3 Motherboard,"₹9,999"
1041,ZEBRONICS H61-i5-4GB-FAN Motherboard,"₹4,699"
1042,ZEBRONICS ZEB-H61M2 with NVMe Slot + Starlite 4GB RAM + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹6,349"
1043,Dtech Asus P5KPL AMPS Motherboard with dual core processor and 2Gb RAM Motherboard,"₹2,500"
1044,mytechvision X99 Motherboard,"₹12,999"
1045,Matrix MXG41 Motherboard,"₹1,934"
1046,FOXI FOXIN H61 MB 2 YEAR ARANTY Motherboard,"₹2,252"
1047,ZEBRONICS ZEB-H55 Motherboard,"₹2,790"
1048,ZEBRONICS ZEB-H61 Motherboard,"₹2,449"
1049,ZEBRONICS H61+128GB SATA SSD+4GB starlite DDR3 RAM with PENTIUM DUALCORE CPU Combo Motherboard,"₹5,499"
1050,ZEBRONICS H61 + i5 3570 Processor + 4Gb Ram + CPU Fan Motherboard,"₹6,019"
1051,ZEBRONICS ZEB-H61M2 built in NVMe Slot + Scuda 128GB NVMe SSD+4GB DDR3 RAM Combo Set Motherboard,"₹5,822"
1052,gebronic ZEBRONIC_H61M2 Motherboard,"₹2,099"
1053,mytechvision X99 LGA 2011 Motherboard,"₹9,984"
1054,ASRock Z690 PG Riptide Motherboard,"₹20,299"
1055,Dtech Gigabyte GA-N3050M-D3P Motherboard,"₹2,499"
1056,mytechvision X99 Motherboard,"₹12,999"
1057,mytechvision X79 motherboard with E5 2650 processor Motherboard,"₹8,999"
1058,"SmartCam NanoPi M1 Plus Allwinner H3,Quad-Core A7@1.2GHz Compatible Raspberry Pi Motherboard","₹8,999"
1059,ZEBRONICS G41-D2SP COMBO WITH C2D PROCESSOR Motherboard,"₹3,990"
1060,Dtech Intel D245KT Motherboard,"₹1,799"
1061,ZEBRONICS ZEB H55 (HDMI - MSATA) Motherboard,"₹2,465"
1062,Dtech Acer H81-M1 Motherboard,"₹2,499"
1063,Dtech Asus P5GAsus P5G41T-MLX Motherboard,"₹2,299"
1064,Dtech Intel D945GCPE Motherboard,"₹1,699"
1065,ZEBRONICS ZEB-G31-D2-COMBO KIT Motherboard,"₹3,799"
1066,ZEBRONICS Zeb-H61 Motherboard LGA1155 Socket Micro ATX DDR3 Motherboard,"₹2,449"
1067,Dtech Acer H57-AD With i3 Processor 2Gb Ram Motherboard,"₹2,899"
1068,aht Board_001 Motherboard,"₹1,650"
1069,Dtech Asus M2N68 AM PLUS Motherboard,"₹1,999"
1070,Dtech Foxin G31 Motherboard with Dual Core Processor and 2Gb DDR2 RAM Motherboard,"₹2,449"
1071,ZEBRONICS ZEB-G41-D3-4GB-COMBO Motherboard,"₹3,347"
1072,Dtech Acer H310CH5-M23HV Motherboard,"₹3,399"
1073,techut PCI 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard,₹349
1074,Dtech Intel H61 Motherboard with Core i3 Processor and 4Gb Ram Motherboard,"₹4,199"
1075,TECHON New PCI 4-digit PC Diagnostic Card With User Manual (red) Motherboard,₹331
1076,Dtech ECS G41 Motherboard Pentium E5200 2.5Ghz 2Gb DDR3 RAM Motherboard,"₹2,700"
1077,MSI Z690-A DDR4 Motherboard,"₹19,667"
1078,Zingsha X99 Dual CPU Motherboard with Intel Xeon 2699 v3 CPU and 64 GB RAM Motherboard,"₹58,559"
1079,GIGABYTE B550M DS3H Motherboard,"₹9,649"
1080,Maxwell Arduino UNO R3 Board ATmega328P with FREE USB Cable Motherboard,₹899
1081,Dtech Zebronics G31 Series Motherboard Motherboard,"₹1,899"
1082,Dtech Asus P8H61M LX3 Motherboard,"₹4,499"
1083,Dtech Lapcare G31 Motherboard Motherboard,"₹1,899"
1084,ZEBRONICS Zeb H-61M2 Motherboard LGA 1155 Socket with M2 slot Motherboard,"₹2,449"
1085,Mak World 4 Digi PC Motherboard Diagnostic Card Motherboard,₹331
1086,ASHK AS-HK110M-H-R1 Motherboard,"₹9,700"
1087,Dtech M5A78L-MLX AM3+ Motherboard,"₹2,499"
1088,DHRUV-PRO 3In1 Mini PCI- PCI-E LPC Laptop Analyzer Tester Diagnostic Card Post Test Motherboard,₹899
1089,GIGABYTE H81M-H Motherboard,"₹6,299"
1090,ASRock Z590 Phantom Gaming4 Motherboard,"₹14,729"
1091,ASRock Z590 Taichi Motherboard,"₹44,129"
1092,MSI X299 PRO Motherboard,"₹31,999"
1093,MSI MAG Z590 TORPEDO Motherboard,"₹24,599"
1094,MSI MPG Z590 GAMING PLUS Motherboard,"₹25,699"
1095,ZEBRONICS ZEB-H61M2-4GB-i5-FAN-P Motherboard,"₹4,199"
1096,MSI MPG Z690 FORCE WIFI ATX Motherboard,"₹43,201"
1097,ZEBRONICS H110 Motherboard with M.2 Nvme Slot Motherboard,"₹5,369"
1098,Frontech 0471 Motherboard,"₹2,705"
1099,ZEBRONICS ZEB-H55-D3 Motherboard,"₹2,375"
1100,GIGABYTE Z690 UD AX Motherboard,"₹31,999"
1101,MSI MEG B550 UNIFY-X Motherboard,"₹30,499"
1102,ZEBRONICS H61-i3-4gb Pfan Motherboard,"₹3,399"
1103,Shining sun Vision Pi Zero 2 W A-Tiny Computer Motherboard,"₹2,499"
1104,LAPCARE LKMBMB8006 Motherboard,"₹6,499"
1105,ASUS PRIME H670-PLUS D4 Motherboard,"₹17,999"
1106,MSI MAG Z690 TOMAHAWK WIFI Motherboard,"₹32,999"
1107,MSI Z590 A PRO Motherboard,"₹16,586"
1108,LAPCARE h81 1150 Motherboard,"₹3,199"
1109,GEONIX H61 Motherboard,"₹1,748"
1110,ZEBRONICS ZEB-H81M2 Motherboard,"₹2,799"
1111,ZEBRONICS ZEB-H81 Motherboard,"₹2,849"
1112,ASUS TUF GAMING X670E PLUS WIFI Motherboard,"₹39,750"
1113,powerx PMB-H61 Motherboard,"₹3,800"
1114,ASUS TUF GAMING B650-PLUS Motherboard,"₹24,990"
1115,GIGABYTE ?Z690 AORUS ULTRA Motherboard,"₹41,599"
1116,GIGABYTE B760M DS3H DDR4 Motherboard,"₹14,999"
1117,GIGABYTE ?Z690 Motherboard,"₹39,999"
1118,Thunderz 1155 Motherboard,"₹3,499"
1119,GIGABYTE Z690UD Motherboard,"₹24,999"
1120,ASRock B450M-HDV Motherboard,"₹5,678"
1121,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot Motherboard,"₹2,449"
1122,ZEBRONICS H61-i5-4GB-PFAN-COMBO Motherboard,"₹3,799"
1123,ZEBRONICS Zeb H61M2 Motherboard with M2 slot LGA 1155 Socket Motherboard,"₹2,299"
1124,ASUS PRIME H610M-E D4 Motherboard,"₹8,950"
1125,MSI B550M PRO-VDH WIFI Motherboard,"₹12,999"
1126,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,299"
1127,Ant Value G41MAD3 Motherboard,"₹2,161"
1128,ASUS PRIME B550M-A WIFI II Motherboard,"₹13,999"
1129,ASUS PRIME A320M-K Motherboard,"₹5,999"
1130,ZEBRONICS ZEB-H61 Motherboard,"₹2,299"
1131,ASUS Prime-B450M-A-II Motherboard,"₹8,999"
1132,ZEBRONICS H61 Motherboard,"₹2,104"
1133,ASRock B550M Pro4 Motherboard,"₹9,389"
1134,GIGABYTE A520M K Motherboard,"₹5,899"
1135,ASUS ROG STRIX Z590-E Gaming Wi-Fi Motherboard,"₹33,517"
1136,ASUS ?PRIME H410M-E Motherboard,"₹6,999"
1137,"MSI PRO H510M-B Motherboard, Micro-ATX Motherboard","₹5,999"
1138,ASUS ?ROG STRIX Z790-H GAMING WIFI Motherboard,"₹35,519"
1139,GIGABYTE B550M-DS3H Motherboard,"₹9,800"
1140,Frontech FT- H61 with Nvme slot LGA 1155 Socket Motherboard,"₹2,199"
1141,ASUS TUF Gaming B550-PLUS Motherboard,"₹15,926"
1142,GEONIX GX-H61 DDR3 Motherboard|2.0 USB| LGA 1155 Support Intel 2nd and 3rd Gen CPU DDR3 Motherboard,"₹1,999"
1143,ASUS ROG STRIX X670E A GAMING WIFI Motherboard,"₹41,739"
1144,MSI B450M PRO-VDH MAX Mini-ATX AM4 Gaming Motherboard,"₹8,899"
1145,GIGABYTE B450M DS3H (AMD Ryzen AM4/M.2/HMDI/DVI/USB 3.1/DDR4/Micro ATX) Motherboard,"₹8,190"
1146,ASUS TUF Gaming B560M-Plus Motherboard,"₹14,462"
1147,LAPCARE h81 Motherboard,"₹3,299"
1148,ASRock B560 Steel Legend Motherboard,"₹11,720"
1149,MSI MEG Z590 GODLIKE Motherboard,"₹98,999"
1150,ASUS ROG STRIX Z590-F Gaming Wi-Fi Motherboard,"₹29,999"
1151,ASRock B550 PG Riptide Motherboard,"₹12,179"
1152,ASRock Z690 Pro RS Motherboard,"₹17,999"
1153,ASUS Prime Z690-A Motherboard,"₹29,950"
1154,Raspberry Pi 4-Model B-8GB RAM Motherboard,"₹8,099"
1155,MSI PRO H410M-B Motherboard,"₹6,999"
1156,Raspberry Pi 3 Model B+ Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B Plus Motherboard,"₹5,499"
1157,ZEBRONICS ZEB-61 MOTHERBOARD Motherboard,"₹2,225"
1158,ASUS Prime Z690-P D4 Motherboard,"₹21,499"
1159,ASUS ROG Strix Z490-F Gaming Motherboard,"₹25,719"
1160,ASRock H610M-HDV/M.2 Motherboard,"₹7,019"
