,motherBoard,MRP
1161,ASUS Prime B550M-K Motherboard,"₹10,384"
1162,MSI A320M-A PRO AMD AM4 m-ATX DDR4 Motherboard,"₹5,999"
1163,GIGABYTE B650M K Motherboard,"₹14,500"
1164,GIGABYTE B550 GAMING X Motherboard,"₹12,205"
1165,ZEBRONICS ZEB-H61M2 with PCIE M.2 / NVMe Slot (LGA 1155 Socket) Motherboard,"₹2,299"
1166,ZEBRONICS ZEB-H310-NVMe Motherboard,"₹4,999"
1167,ZEBRONICS Zeb H110-D4 LGA 1151 Socket Motherboard Motherboard,"₹4,337"
1168,ZEB ZEBRONICS H61M2 Motherboard,"₹2,049"
1169,EXPERTRONICS Consistent CMB G41-II DDR2 (3 Year Warranty) Motherboard,"₹2,038"
1170,ASUS TUF-GAMING-B550M-E Motherboard,"₹13,181"
1171,GEONIX Geonix_H61 Motherboard,"₹1,790"
1172,ZEBRONICS Zeb H110-D4 Motherboard,"₹3,980"
1173,ASUS TUF GAMING X670E PLUS Motherboard,"₹32,952"
1174,GIGABYTE B450-Aorus Elite V2 Motherboard,"₹10,043"
1175,"Enter E-G41D2 (4SATA, 775LGA, DDR2, 10/100LAN, Intel G41+ICH7 Chipset, 5.1Audio, PCIe) Motherboard","₹1,945"
1176,Frontech G41/775 DDR2 Motherboard,"₹1,974"
1177,Matrix MXH81 Motherboard,"₹2,591"
1178,Ant Value H110MAD4 Motherboard,"₹4,256"
1179,MSI PRO B660-A DDR4 Motherboard,"₹24,449"
1180,"Enter i3,i5,i7 SUPPORT E-H61 MOTHERBOARD Motherboard","₹2,070"
1181,GIGABYTE B450-S2H Motherboard,"₹6,749"
1182,ASRock B560 Pro4 Motherboard,"₹9,299"
1183,ZEBRONICS ZEB-H81M2 with PCIE M.2 / NVMe Slot (LGA 1150 Socket) Motherboard,"₹2,449"
1184,ASRock X570 Phantom Gaming4 Motherboard,"₹14,269"
1185,ZEBRONICS Zeb-H61 Motherboard,"₹1,971"
1186,ASRock B550 Taichi Motherboard,"₹23,449"
1187,ASUS TUF GAMING B660M-PLUS WIFI D4 Motherboard,"₹18,821"
1188,ZEBRONICS ZEB-H81 Motherboard,"₹2,478"
1189,ASUS Prime H510M-E Motherboard,"₹7,499"
1190,ASRock B660 Pro RS Motherboard,"₹11,499"
1191,GIGABYTE MBG-B760MAORUSPROAX Motherboard,"₹23,999"
1192,MSI MPG X570 GAMING PLUS ATX AM4 Gaming Motherboard,"₹23,699"
1193,ASUS ROG STRIX B550-F GAMING WIFI II Motherboard,"₹23,999"
1194,ASUS TUF GAMING B660M-PLUS D4 Motherboard,"₹18,999"
1195,ASRock Z690 Steel Legend WiFi 6E Motherboard,"₹25,499"
1196,MSI MAG B560 TOMAHAWK WIFI Motherboard,"₹20,599"
1197,"ZEBRONICS ZEB-H61 LGA 1155 Socket ,128GB SATA 2.5"" SSD Combo Set Motherboard Motherboard","₹3,790"
1198,MSI Z590 UNIFY Motherboard,"₹28,844"
1199,Cansistant CONSISTENT_H61 Motherboard,"₹1,950"
1200,GIGABYTE B560M-H V2 Motherboard,"₹7,149"
1201,MSI B560M PRO-E Motherboard,"₹8,499"
1202,ASRock Z690 Steel Legend Motherboard,"₹22,499"
1203,GIGABYTE B550-Gaming X V2 Motherboard,"₹12,249"
1204,Matrix MXH61 Motherboard,"₹1,976"
1205,ASUS PRIME X670-P CSM Motherboard,"₹28,149"
1206,ASRock Z790 Steel legend WiFi Motherboard,"₹30,299"
1207,ASRock Z790 PG- ITX/TB4 Motherboard,"₹38,999"
1208,Dtech Gigabyte H81M-S Motherboard,"₹3,499"
1209,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,790"
1210,GIGABYTE Z790 UD AC Motherboard,"₹26,999"
1211,ASRock B650E Steel Legend WiFi Motherboard,"₹27,399"
1212,"Raspberry Pi 4 Model B 8GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 8GB Motherboard","₹12,999"
1213,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
1214,"Raspberry Pi 4 Model B 2GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 2GB Motherboard","₹8,500"
1215,MSI MPG B550 Gaming Plus Motherboard,"₹17,999"
1216,ASUS TUF GAMING B650M-PLUS WIFI Motherboard,"₹23,161"
1217,ASUS EX-B660M-V5 D4 Motherboard,"₹11,924"
1218,Dtech H110M4-C2H Motherboard,"₹2,999"
1219,MSI MEG Z490I UNIFY Mini-ATX LGA 1200 Gaming Motherboard,"₹19,667"
1220,MSI MEG X570 UNIFY ATX AM4 Gaming Motherboard,"₹35,007"
1221,ZEBRONICS H61M2+240GB WD SSD + 8GB starlite DDR3 RAM with CORE i5 3RD GEN CPU Combo set Motherboard,"₹7,200"
1222,Ant Value H61MAD3 Motherboard,"₹5,499"
1223,ASUS TUF GAMING B650M-PLUS Motherboard,"₹21,585"
1224,GIGABYTE B550-Aorus Elite AX V2 Motherboard,"₹16,800"
1225,ASUS Rog Strix Z690-A Gaming Wifi D4 Motherboard,"₹37,199"
1226,MSI MAG B550 TOMAHAWK Motherboard,"₹18,000"
1227,ASRock B650 PG Lightning Motherboard,"₹20,799"
1228,ASRock B550 Pro4 Motherboard,"₹16,149"
1229,ZEBRONICS ZEB-G41 - D2 Motherboard,"₹2,390"
1230,ASRock Z690M-ITX/ax Motherboard,"₹21,499"
1231,Frontech H61/1155 DDR3 Motherboard,"₹2,059"
1232,ASRock Z590 OC Formula Motherboard,"₹55,809"
1233,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
1234,ASUS PROART B660-CREATOR D4 Motherboard,"₹25,609"
1235,ASRock Z590 Phantom Gaming4/AC Motherboard,"₹15,569"
1236,ASRock B650 Pro RS Motherboard,"₹21,949"
1237,MSI Z590 PRO WIFI Motherboard,"₹21,699"
1238,GEONIX GX-H81 D3 Motherboard,"₹2,690"
1239,ZEBRONICS G41 Motherboard,"₹1,999"
1240,MSI Z590 PRO WIFI Motherboard,"₹21,699"
1241,ASRock B650 Pro RS Motherboard,"₹21,949"
1242,ZEBRONICS ZEB H61 MBRD Motherboard,"₹2,199"
1243,MSI MEG Z690 Ace E-ATX Motherboard,"₹74,078"
1244,MSI PRO Z690-A WIFI Motherboard,"₹28,999"
1245,ZEBRONICS G41 Motherboard,"₹1,999"
1246,GEONIX GX-H81 D3 Motherboard,"₹2,690"
1247,MSI Z490-A PRO ATX LGA 1200 Gaming Motherboard,"₹12,999"
1248,ASRock Z690 Taichi Razer Edition Motherboard,"₹54,999"
1249,GIGABYTE ?B760M DS3H AX Motherboard,"₹17,499"
1250,ASUS Tuf Gaming Z690-Plus D4 Motherboard,"₹25,498"
1251,ZEBRONICS H61+240GB CRUCIAL SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹5,999"
1252,ZEBRONICS H61 Supported Socket 1155 RAM DDR3 Motherboard,"₹2,225"
1253,MSI MPG Z490 GAMING CARBON WIFI ATX LGA 1200 Gaming Motherboard,"₹27,879"
1254,"Raspberry Pi 4 Model B 4GB RAM Kit with 32GB Noobs, LAN-mHDMI Cable, Power Supply, RPi 4B 4GB Motherboard","₹9,500"
1255,GIGABYTE B550-DS3H-AC Motherboard,"₹11,000"
1256,ASUS Prime Z690M-Plus Motherboard,"₹21,009"
1257,ASRock Z790 Pro RS WiFi Motherboard,"₹28,849"
1258,ASUS ?TUF GAMING Z790-PLUS WIFI Motherboard,"₹35,999"
1259,MSI MPG Z490 GAMING EDGE WIFI ATX LGA 1200 Gaming Motherboard,"₹22,799"
1260,ASRock Z790M PG Lightning/D4 Motherboard,"₹19,039"
1261,ZEBRONICS H61 Mboard + i5 3470 Processor + 4GB DDR3 Ram + CPU Fan Motherboard,"₹4,761"
1262,ASRock Z690M Phantom Gaming 4 Motherboard,"₹13,499"
1263,AARVEX 61 Motherboard,"₹3,050"
1264,ASUS PRIME B660-PLUS D4 Motherboard,"₹16,999"
1265,ASUS PRIME X570- PRO/CSM Motherboard,"₹26,999"
1266,ASUS Tuf Gaming Z690-Plus Wifi D4 Motherboard,"₹25,606"
1267,ASUS TUF GAMING Z590-PLUS Motherboard,"₹19,799"
1268,ASUS EX B460M-V5 Motherboard,"₹8,742"
1269,ASUS PRIME X670 P WIFI CSM Motherboard,"₹30,002"
1270,FOXI FOXIN H81 MOTHERBOARD Motherboard,"₹3,880"
1271,"Raspberry Pi 3 Model B 1GB RAM, 1.2GHz CPU, WiFi/BLE, 40 GPIO Pins Single Board Computer Motherboard","₹4,649"
1272,ZEBRONICS Zeb-H61M2 with M2 slot LGA 1155 Socket Motherboard,"₹2,449"
1273,ASRock Z790M -ITX WiFi Motherboard,"₹26,139"
1274,MSI MEG Z590I UNIFY Motherboard,"₹37,399"
1275,ASUS PRIME B660M-A D4 Motherboard,"₹14,499"
1276,MSI MPG Z690 CARBON EK X Motherboard,"₹40,513"
1277,MSI MPG Z690 EDGE WIFI DDR4 Motherboard,"₹32,100"
1278,ASUS TUF Gaming Z590-Plus Wi-Fi Motherboard,"₹22,532"
1279,ZEBRONICS ZEB-G41 D3 Motherboard,"₹2,450"
1280,ZEBRONICS G41 Supported Socket 775 RAM DDR3 Motherboard,"₹2,019"
1281,MSI MPG Z590 GAMING EDGE WIFI Motherboard,"₹29,518"
1282,ZEBRONICS ZEB-G41-D2S Motherboard,"₹2,310"
1283,GIGABYTE ?B760M DS3H AX DDR4 Motherboard,"₹16,999"
1284,ZEBRONICS ZEB -H61 Motherboard,"₹2,190"
1285,ZEBRONICS ZEB-H81M2 with NVMe Slot + Scuda 256GB NVMe SSD Combo Set (LGA 1150) Motherboard,"₹4,749"
1286,Frontech H110/1151 DDR4 Motherboard,"₹3,819"
1287,zebion H-61 Motherboard Motherboard,"₹2,800"
1288,Frontech H55/1156 Motherboard,"₹2,129"
1289,ZEBRONICS G41-D3-COMBO-KIT Motherboard,"₹3,475"
1290,Dtech Lapcare H61 LA Motherboard,"₹2,399"
1291,PAC 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard Motherboard,₹345
1292,IKIS New PCI 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard,₹449
1293,Dtech Gigabyte B75MS Motherboard with 3rd gen Core i3 Processor and 4Gb Ram Motherboard,"₹5,499"
1294,aht M3A785GM-LE Motherboard,"₹1,615"
1295,ZEBRONICS H81+128GB SATA SSD+4GB starlite DDR3 RAM with Pentium Dualcore G3250 CPU Combo Motherboard,"₹5,999"
1296,Dtech Gigabyte GA-H61M-S Motherboard,"₹2,499"
1297,Raspberry Pi 3 Model B Kit with Adapter Case LAN-HDMI Cable HeatSink SD Card & RPi 3B 1GB Motherboard,"₹5,499"
1298,"ZEBRONICS ZEBH61 CORE I5 2400 8 GB RAM, FAN Motherboard","₹4,150"
1299,Dtech Asus M4N68T-M LE V2 Motherboard,"₹2,399"
1300,LAPCARE H110 Motherboard,"₹4,289"
1301,ZEBRONICS Z31/G31 Combo kit Motherboard,"₹3,750"
1302,GIGABYTE B560M-DS2H-AC Motherboard,"₹12,400"
1303,ZEBRONICS H61+128 SATA GB SSD + 4GB starlite DDR3 RAM Combo set Motherboard,"₹5,062"
1304,ASUS ROG STRIX B660A-GAMING-WiFi D4 Motherboard,"₹23,499"
1305,ZEBRONICS ZEB-H61M2 with NVMe Slot + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹4,549"
1306,Raspberry Pi 4 Model B 2GB RAM Motherboard,"₹5,999"
1307,ZEBRONICS H61M2+240GB WD SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹6,500"
1308,ZEBRONICS G41+128 GB SATA SSD + 4GB starlite DDR3 RAM with Core 2 Duo CPU Combo set Motherboard,"₹5,211"
1309,Cmos Micro Lithium Cell CR2032 Motherboard,₹202
1310,RashMove FMB-G41(DDR3) Motherboard,"₹4,500"
1311,ZEB ZEBRONICS_H61M2 Motherboard,"₹3,249"
1312,GIGABYTE 110MH Motherboard,"₹7,499"
1313,MSI Z590 PLUS Motherboard,"₹17,649"
1314,TECHON New PCI 4-digit PC Diagnostic Card With User Manual (red) Motherboard,₹331
1315,ZEBRONICS H81M2+ Starlite 256GB NVME SSD & 8GB RAM with Intel Core i3 Processor combo set Motherboard,"₹8,948"
1316,ZEBRONICS H81+240GB CRUCIAL SSD + 4GB starlite DDR3 RAM with CORE i3 4Th GEN CPU Combo set Motherboard,"₹7,749"
1317,ZEBRONICS ZEB-H61 Motherboard,"₹2,449"
1318,Dtech ECS H61H2 Motherboard Intel G2020 Processor 2Gb Adata Ram DDR3 Motherboard,"₹2,799"
1319,ZEBRONICS H55-COMBO-KIT-4GB Motherboard,"₹4,850"
1320,sillora X99 + E2 2620 V3 Motherboard,"₹9,999"
1321,ZEBRONICS H61-i5-4GB-FAN Motherboard,"₹4,699"
1322,ZEBRONICS ZEB-H61M2 with NVMe Slot + Starlite 4GB RAM + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹6,349"
1323,Dtech Asus P5KPL AMPS Motherboard with dual core processor and 2Gb RAM Motherboard,"₹2,500"
1324,mytechvision X99 Motherboard,"₹12,999"
1325,Matrix MXG41 Motherboard,"₹1,934"
1326,FOXI FOXIN H61 MB 2 YEAR ARANTY Motherboard,"₹2,252"
1327,ZEBRONICS ZEB-H55 Motherboard,"₹2,790"
1328,ZEBRONICS ZEB-H61 Motherboard,"₹2,449"
1329,ZEBRONICS H61+128GB SATA SSD+4GB starlite DDR3 RAM with PENTIUM DUALCORE CPU Combo Motherboard,"₹5,499"
1330,ZEBRONICS H61 + i5 3570 Processor + 4Gb Ram + CPU Fan Motherboard,"₹6,019"
1331,ZEBRONICS ZEB-H61M2 built in NVMe Slot + Scuda 128GB NVMe SSD+4GB DDR3 RAM Combo Set Motherboard,"₹5,822"
1332,gebronic ZEBRONIC_H61M2 Motherboard,"₹2,099"
1333,mytechvision X99 LGA 2011 Motherboard,"₹9,984"
1334,ASRock Z690 PG Riptide Motherboard,"₹20,299"
1335,Dtech Gigabyte GA-N3050M-D3P Motherboard,"₹2,499"
1336,mytechvision X99 Motherboard,"₹12,999"
1337,mytechvision X79 motherboard with E5 2650 processor Motherboard,"₹8,999"
1338,"SmartCam NanoPi M1 Plus Allwinner H3,Quad-Core A7@1.2GHz Compatible Raspberry Pi Motherboard","₹8,999"
1339,ZEBRONICS G41-D2SP COMBO WITH C2D PROCESSOR Motherboard,"₹3,990"
1340,Dtech Intel D245KT Motherboard,"₹1,799"
1341,ZEBRONICS ZEB H55 (HDMI - MSATA) Motherboard,"₹2,465"
1342,Dtech Acer H81-M1 Motherboard,"₹2,499"
1343,Dtech Asus P5GAsus P5G41T-MLX Motherboard,"₹2,299"
1344,Dtech Intel D945GCPE Motherboard,"₹1,699"
1345,ZEBRONICS ZEB-G31-D2-COMBO KIT Motherboard,"₹3,799"
1346,ZEBRONICS Zeb-H61 Motherboard LGA1155 Socket Micro ATX DDR3 Motherboard,"₹2,449"
1347,Dtech Acer H57-AD With i3 Processor 2Gb Ram Motherboard,"₹2,899"
1348,aht Board_001 Motherboard,"₹1,650"
1349,Dtech Asus M2N68 AM PLUS Motherboard,"₹1,999"
1350,Dtech Foxin G31 Motherboard with Dual Core Processor and 2Gb DDR2 RAM Motherboard,"₹2,449"
1351,ZEBRONICS ZEB-G41-D3-4GB-COMBO Motherboard,"₹3,347"
1352,Dtech Acer H310CH5-M23HV Motherboard,"₹3,399"
1353,techut PCI 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard,₹349
1354,Dtech Intel H61 Motherboard with Core i3 Processor and 4Gb Ram Motherboard,"₹4,199"
1355,TECHON New PCI 4-digit PC Diagnostic Card With User Manual (red) Motherboard,₹331
1356,Dtech ECS G41 Motherboard Pentium E5200 2.5Ghz 2Gb DDR3 RAM Motherboard,"₹2,700"
1357,MSI Z690-A DDR4 Motherboard,"₹19,667"
1358,Zingsha X99 Dual CPU Motherboard with Intel Xeon 2699 v3 CPU and 64 GB RAM Motherboard,"₹58,559"
1359,GIGABYTE B550M DS3H Motherboard,"₹9,649"
1360,Maxwell Arduino UNO R3 Board ATmega328P with FREE USB Cable Motherboard,₹899
1361,Dtech Zebronics G31 Series Motherboard Motherboard,"₹1,899"
1362,Dtech Asus P8H61M LX3 Motherboard,"₹4,499"
1363,Dtech Lapcare G31 Motherboard Motherboard,"₹1,899"
1364,ZEBRONICS Zeb H-61M2 Motherboard LGA 1155 Socket with M2 slot Motherboard,"₹2,449"
1365,Mak World 4 Digi PC Motherboard Diagnostic Card Motherboard,₹331
1366,ASHK AS-HK110M-H-R1 Motherboard,"₹9,700"
1367,Dtech M5A78L-MLX AM3+ Motherboard,"₹2,499"
1368,DHRUV-PRO 3In1 Mini PCI- PCI-E LPC Laptop Analyzer Tester Diagnostic Card Post Test Motherboard,₹899
1369,GIGABYTE H81M-H Motherboard,"₹6,299"
1370,ASRock Z590 Phantom Gaming4 Motherboard,"₹14,729"
1371,ASRock Z590 Taichi Motherboard,"₹44,129"
1372,MSI X299 PRO Motherboard,"₹31,999"
1373,MSI MAG Z590 TORPEDO Motherboard,"₹24,599"
1374,MSI MPG Z590 GAMING PLUS Motherboard,"₹25,699"
1375,ZEBRONICS ZEB-H61M2-4GB-i5-FAN-P Motherboard,"₹4,199"
1376,MSI MPG Z690 FORCE WIFI ATX Motherboard,"₹43,201"
1377,ZEBRONICS H110 Motherboard with M.2 Nvme Slot Motherboard,"₹5,369"
1378,Frontech 0471 Motherboard,"₹2,705"
1379,ZEBRONICS ZEB-H55-D3 Motherboard,"₹2,375"
1380,GIGABYTE Z690 UD AX Motherboard,"₹31,999"
1381,MSI MEG B550 UNIFY-X Motherboard,"₹30,499"
1382,ZEBRONICS H61-i3-4gb Pfan Motherboard,"₹3,399"
1383,Shining sun Vision Pi Zero 2 W A-Tiny Computer Motherboard,"₹2,499"
1384,LAPCARE LKMBMB8006 Motherboard,"₹6,499"
1385,ASUS PRIME H670-PLUS D4 Motherboard,"₹17,999"
1386,MSI MAG Z690 TOMAHAWK WIFI Motherboard,"₹32,999"
1387,MSI Z590 A PRO Motherboard,"₹16,586"
1388,LAPCARE h81 1150 Motherboard,"₹3,199"
1389,GEONIX H61 Motherboard,"₹1,748"
1390,ZEBRONICS ZEB-H81M2 Motherboard,"₹2,799"
1391,ZEBRONICS ZEB-H81 Motherboard,"₹2,849"
1392,ASUS TUF GAMING X670E PLUS WIFI Motherboard,"₹39,750"
1393,powerx PMB-H61 Motherboard,"₹3,800"
1394,ASUS TUF GAMING B650-PLUS Motherboard,"₹24,990"
1395,GIGABYTE ?Z690 AORUS ULTRA Motherboard,"₹41,599"
1396,GIGABYTE B760M DS3H DDR4 Motherboard,"₹14,999"
1397,GIGABYTE ?Z690 Motherboard,"₹39,999"
1398,Thunderz 1155 Motherboard,"₹3,499"
1399,GIGABYTE Z690UD Motherboard,"₹24,999"
1400,GIGABYTE B760M DS3H DDR4 Motherboard,"₹14,999"
1401,Thunderz 1155 Motherboard,"₹3,499"
1402,GIGABYTE Z690UD Motherboard,"₹24,999"
1403,GIGABYTE ?B760M AORUS ELITE AX Motherboard,"₹23,999"
1404,RashMove FMB-G41 SOcket 775 Motherboard,"₹4,400"
1405,GIGABYTE B760M AORUS PRO DDR4 Motherboard,"₹19,999"
1406,Enter ENTERH61 Motherboard,"₹2,560"
1407,GIGABYTE B560 Motherboard,"₹24,999"
1408,ASUS Prime A520M-E Motherboard,"₹6,999"
1409,ZEBRONICS H81+128 GB SATA SSD + 4GB starlite DDR3 RAM with core i3 4th en CPUCombo set Motherboard,"₹6,999"
1410,ZEBRONICS H61M2+ Starlite 256GB NVME SSD & 8GB RAM with Intel Core i3 Processor comboset Motherboard,"₹6,999"
1411,GIGABYTE B450 Motherboard,"₹9,999"
1412,LAPCARE MXG41 Motherboard,"₹2,349"
1413,ZEBRONICS H55-COMBO-KIT-2GB Motherboard,"₹5,787"
1414,ZEBRONICS H81M2+240GB WD SSD + 4GB starlite DDR3 RAM with CORE i3 4Th GEN CPU Combo set Motherboard,"₹8,400"
1415,ZEBRONICS G31-D2-775 Motherboard,"₹2,999"
1416,TNC COMPUTER FT-0470 Motherboard,"₹2,180"
1417,Frontech FT G41 FT-0456 Motherboard,"₹2,450"
1418,ZEBRONICS G41 D3 Motherboard,"₹2,999"
1419,ZEBRONICS G41-D3-COMBO-KIT Motherboard Free mouse & wifi any brand Motherboard,"₹5,549"
1420,ZEBRONICS H61M2+240GB WD SSD + 8GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹6,750"
1421,Blue Feather MB H-61 Motherboard,"₹3,000"
1422,FOXI FOXIN - G41 DDR3 Motherboard,"₹3,299"
1423,ZEBRONICS ZEB-H61M2 built in NVMe Slot + SCUDA 512GB NVMe SSD Combo Set Motherboard,"₹5,999"
1424,ZEBRONICS H61 kit Motherboard,"₹7,180"
1425,ZEBRONICS ZEB55 Motherboard,"₹2,399"
1426,LAPCARE (LPMH510) Motherboard,"₹7,499"
1427,Enter ENTERG41 Motherboard,"₹2,700"
1428,ZEBRONICS H61M2+ Starlite 256GB NVME SSD & 4GB DDR3 RAM with Core i3(3rd Gen) CPU comboset Motherboard,"₹6,999"
1429,ZEBRONICS H61M2+ Starlite 128GB NVME SSD & 4GB DDR3 RAM with PENTIUM DUALCORE CPU comboset Motherboard,"₹5,850"
1430,KRYSTAA KST-H613 Motherboard,"₹2,430"
1431,ZEBRONICS Zeb-h61m2p Motherboard,"₹2,299"
1432,zebion Marlin H55 Motherboard,"₹3,200"
1433,ZEBRONICS ZEB-H81M2 with NVMe Slot + Starlite 4GB RAM + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹5,800"
1434,ZEBRONICS ZEB H81 MB Motherboard,"₹2,849"
1435,Raspberry Pi Zero 2W A-Tiny Computer Motherboard,"₹2,499"
1436,Frantech Frontech_H61 Motherboard,"₹3,299"
1437,ZEBRONICS H55+128GB SATA SSD + 4GB starlite DDR3 RAM with CORE i3 1ST GEN CPU Combo set Motherboard,"₹6,900"
1438,nVIDIA Jetson Nano 4GB Developer Kit - B01 Model Motherboard,"₹19,500"
1439,ZEBRONICS Zeb-H61M2 Motherboard,"₹2,449"
